study	qtl_group	tissue_ontology_id	tissue_ontology_term	tissue_label	condition_label	quant_method	ftp_path
BLUEPRINT	monocyte	CL_0002057	"CD14-positive, CD16-negative classical monocyte"	monocyte	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/exon/BLUEPRINT_exon_monocyte.all.tsv.gz
BLUEPRINT	monocyte	CL_0002057	"CD14-positive, CD16-negative classical monocyte"	monocyte	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/ge/BLUEPRINT_ge_monocyte.all.tsv.gz
BLUEPRINT	monocyte	CL_0002057	"CD14-positive, CD16-negative classical monocyte"	monocyte	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/tx/BLUEPRINT_tx_monocyte.all.tsv.gz
BLUEPRINT	monocyte	CL_0002057	"CD14-positive, CD16-negative classical monocyte"	monocyte	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/txrev/BLUEPRINT_txrev_monocyte.all.tsv.gz
BLUEPRINT	neutrophil	CL_0000775	"neutrophil"	neutrophil	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/exon/BLUEPRINT_exon_neutrophil.all.tsv.gz
BLUEPRINT	neutrophil	CL_0000775	"neutrophil"	neutrophil	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/ge/BLUEPRINT_ge_neutrophil.all.tsv.gz
BLUEPRINT	neutrophil	CL_0000775	"neutrophil"	neutrophil	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/tx/BLUEPRINT_tx_neutrophil.all.tsv.gz
BLUEPRINT	neutrophil	CL_0000775	"neutrophil"	neutrophil	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/txrev/BLUEPRINT_txrev_neutrophil.all.tsv.gz
BLUEPRINT	T-cell	CL_0000624	"CD4-positive, alpha-beta T cell"	CD4+ T cell	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/exon/BLUEPRINT_exon_T-cell.all.tsv.gz
BLUEPRINT	T-cell	CL_0000624	"CD4-positive, alpha-beta T cell"	CD4+ T cell	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/ge/BLUEPRINT_ge_T-cell.all.tsv.gz
BLUEPRINT	T-cell	CL_0000624	"CD4-positive, alpha-beta T cell"	CD4+ T cell	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/tx/BLUEPRINT_tx_T-cell.all.tsv.gz
BLUEPRINT	T-cell	CL_0000624	"CD4-positive, alpha-beta T cell"	CD4+ T cell	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BLUEPRINT/txrev/BLUEPRINT_txrev_T-cell.all.tsv.gz
Bossini-Castillo_2019	Treg_naive	CL_0002677	"naive regulatory T cell"	Treg memory	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Bossini-Castillo_2019/exon/Bossini-Castillo_2019_exon_Treg_naive.all.tsv.gz
Bossini-Castillo_2019	Treg_naive	CL_0002677	"naive regulatory T cell"	Treg memory	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Bossini-Castillo_2019/ge/Bossini-Castillo_2019_ge_Treg_naive.all.tsv.gz
Bossini-Castillo_2019	Treg_naive	CL_0002677	"naive regulatory T cell"	Treg memory	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Bossini-Castillo_2019/tx/Bossini-Castillo_2019_tx_Treg_naive.all.tsv.gz
Bossini-Castillo_2019	Treg_naive	CL_0002677	"naive regulatory T cell"	Treg memory	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Bossini-Castillo_2019/txrev/Bossini-Castillo_2019_txrev_Treg_naive.all.tsv.gz
Braineac2	putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/exon/Braineac2_exon_putamen.all.tsv.gz
Braineac2	putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/ge/Braineac2_ge_putamen.all.tsv.gz
Braineac2	putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/tx/Braineac2_tx_putamen.all.tsv.gz
Braineac2	putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/txrev/Braineac2_txrev_putamen.all.tsv.gz
Braineac2	substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/exon/Braineac2_exon_substantia_nigra.all.tsv.gz
Braineac2	substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/ge/Braineac2_ge_substantia_nigra.all.tsv.gz
Braineac2	substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/tx/Braineac2_tx_substantia_nigra.all.tsv.gz
Braineac2	substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/Braineac2/txrev/Braineac2_txrev_substantia_nigra.all.tsv.gz
BrainSeq	brain	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BrainSeq/exon/BrainSeq_exon_brain.all.tsv.gz
BrainSeq	brain	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BrainSeq/ge/BrainSeq_ge_brain.all.tsv.gz
BrainSeq	brain	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BrainSeq/tx/BrainSeq_tx_brain.all.tsv.gz
BrainSeq	brain	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/BrainSeq/txrev/BrainSeq_txrev_brain.all.tsv.gz
CAP	LCL_naive	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/exon/CAP_exon_LCL_naive.all.tsv.gz
CAP	LCL_naive	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/ge/CAP_ge_LCL_naive.all.tsv.gz
CAP	LCL_naive	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/tx/CAP_tx_LCL_naive.all.tsv.gz
CAP	LCL_naive	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/txrev/CAP_txrev_LCL_naive.all.tsv.gz
CAP	LCL_statin	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/exon/CAP_exon_LCL_statin.all.tsv.gz
CAP	LCL_statin	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/ge/CAP_ge_LCL_statin.all.tsv.gz
CAP	LCL_statin	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/tx/CAP_tx_LCL_statin.all.tsv.gz
CAP	LCL_statin	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CAP/txrev/CAP_txrev_LCL_statin.all.tsv.gz
CommonMind	DLPFC_naive	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CommonMind/exon/CommonMind_exon_DLPFC_naive.all.tsv.gz
CommonMind	DLPFC_naive	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CommonMind/ge/CommonMind_ge_DLPFC_naive.all.tsv.gz
CommonMind	DLPFC_naive	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CommonMind/tx/CommonMind_tx_DLPFC_naive.all.tsv.gz
CommonMind	DLPFC_naive	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/CommonMind/txrev/CommonMind_txrev_DLPFC_naive.all.tsv.gz
FUSION	adipose_naive	UBERON_0001013	"adipose tissue"	adipose	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/exon/FUSION_exon_adipose_naive.all.tsv.gz
FUSION	adipose_naive	UBERON_0001013	"adipose tissue"	adipose	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/ge/FUSION_ge_adipose_naive.all.tsv.gz
FUSION	adipose_naive	UBERON_0001013	"adipose tissue"	adipose	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/tx/FUSION_tx_adipose_naive.all.tsv.gz
FUSION	adipose_naive	UBERON_0001013	"adipose tissue"	adipose	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/txrev/FUSION_txrev_adipose_naive.all.tsv.gz
FUSION	muscle_naive	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/exon/FUSION_exon_muscle_naive.all.tsv.gz
FUSION	muscle_naive	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/ge/FUSION_ge_muscle_naive.all.tsv.gz
FUSION	muscle_naive	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/tx/FUSION_tx_muscle_naive.all.tsv.gz
FUSION	muscle_naive	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/FUSION/txrev/FUSION_txrev_muscle_naive.all.tsv.gz
GENCORD	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/exon/GENCORD_exon_fibroblast.all.tsv.gz
GENCORD	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/ge/GENCORD_ge_fibroblast.all.tsv.gz
GENCORD	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/tx/GENCORD_tx_fibroblast.all.tsv.gz
GENCORD	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/txrev/GENCORD_txrev_fibroblast.all.tsv.gz
GENCORD	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/exon/GENCORD_exon_LCL.all.tsv.gz
GENCORD	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/ge/GENCORD_ge_LCL.all.tsv.gz
GENCORD	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/tx/GENCORD_tx_LCL.all.tsv.gz
GENCORD	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/txrev/GENCORD_txrev_LCL.all.tsv.gz
GENCORD	T-cell	CL_0000084	"T cell"	T cell	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/exon/GENCORD_exon_T-cell.all.tsv.gz
GENCORD	T-cell	CL_0000084	"T cell"	T cell	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/ge/GENCORD_ge_T-cell.all.tsv.gz
GENCORD	T-cell	CL_0000084	"T cell"	T cell	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/tx/GENCORD_tx_T-cell.all.tsv.gz
GENCORD	T-cell	CL_0000084	"T cell"	T cell	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GENCORD/txrev/GENCORD_txrev_T-cell.all.tsv.gz
GEUVADIS	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GEUVADIS/exon/GEUVADIS_exon_LCL.all.tsv.gz
GEUVADIS	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GEUVADIS/ge/GEUVADIS_ge_LCL.all.tsv.gz
GEUVADIS	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GEUVADIS/tx/GEUVADIS_tx_LCL.all.tsv.gz
GEUVADIS	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GEUVADIS/txrev/GEUVADIS_txrev_LCL.all.tsv.gz
GTEx	adipose_subcutaneous	UBERON_0001013	"adipose tissue"	adipose	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_adipose_subcutaneous.all.tsv.gz
GTEx	adipose_subcutaneous	UBERON_0001013	"adipose tissue"	adipose	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_adipose_subcutaneous.all.tsv.gz
GTEx	adipose_subcutaneous	UBERON_0001013	"adipose tissue"	adipose	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_adipose_subcutaneous.all.tsv.gz
GTEx	adipose_subcutaneous	UBERON_0001013	"adipose tissue"	adipose	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_adipose_subcutaneous.all.tsv.gz
GTEx	adipose_visceral	UBERON_0010414	"omental fat pad"	adipose (visceral)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_adipose_visceral.all.tsv.gz
GTEx	adipose_visceral	UBERON_0010414	"omental fat pad"	adipose (visceral)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_adipose_visceral.all.tsv.gz
GTEx	adipose_visceral	UBERON_0010414	"omental fat pad"	adipose (visceral)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_adipose_visceral.all.tsv.gz
GTEx	adipose_visceral	UBERON_0010414	"omental fat pad"	adipose (visceral)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_adipose_visceral.all.tsv.gz
GTEx	adrenal_gland	UBERON_0002369	"adrenal gland"	adrenal gland	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_adrenal_gland.all.tsv.gz
GTEx	adrenal_gland	UBERON_0002369	"adrenal gland"	adrenal gland	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_adrenal_gland.all.tsv.gz
GTEx	adrenal_gland	UBERON_0002369	"adrenal gland"	adrenal gland	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_adrenal_gland.all.tsv.gz
GTEx	adrenal_gland	UBERON_0002369	"adrenal gland"	adrenal gland	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_adrenal_gland.all.tsv.gz
GTEx	artery_aorta	UBERON_0001496	"ascending aorta"	artery (aorta)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_artery_aorta.all.tsv.gz
GTEx	artery_aorta	UBERON_0001496	"ascending aorta"	artery (aorta)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_artery_aorta.all.tsv.gz
GTEx	artery_aorta	UBERON_0001496	"ascending aorta"	artery (aorta)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_artery_aorta.all.tsv.gz
GTEx	artery_aorta	UBERON_0001496	"ascending aorta"	artery (aorta)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_artery_aorta.all.tsv.gz
GTEx	artery_coronary	UBERON_0001621	"coronary artery"	artery (coronary)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_artery_coronary.all.tsv.gz
GTEx	artery_coronary	UBERON_0001621	"coronary artery"	artery (coronary)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_artery_coronary.all.tsv.gz
GTEx	artery_coronary	UBERON_0001621	"coronary artery"	artery (coronary)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_artery_coronary.all.tsv.gz
GTEx	artery_coronary	UBERON_0001621	"coronary artery"	artery (coronary)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_artery_coronary.all.tsv.gz
GTEx	artery_tibial	UBERON_0007610	"tibial artery"	artery (tibial)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_artery_tibial.all.tsv.gz
GTEx	artery_tibial	UBERON_0007610	"tibial artery"	artery (tibial)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_artery_tibial.all.tsv.gz
GTEx	artery_tibial	UBERON_0007610	"tibial artery"	artery (tibial)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_artery_tibial.all.tsv.gz
GTEx	artery_tibial	UBERON_0007610	"tibial artery"	artery (tibial)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_artery_tibial.all.tsv.gz
GTEx	blood	UBERON_0000178	"blood"	blood	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_blood.all.tsv.gz
GTEx	blood	UBERON_0000178	"blood"	blood	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_blood.all.tsv.gz
GTEx	blood	UBERON_0000178	"blood"	blood	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_blood.all.tsv.gz
GTEx	blood	UBERON_0000178	"blood"	blood	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_blood.all.tsv.gz
GTEx	brain_amygdala	UBERON_0001876	"amygdala"	brain (amygdala)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_amygdala.all.tsv.gz
GTEx	brain_amygdala	UBERON_0001876	"amygdala"	brain (amygdala)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_amygdala.all.tsv.gz
GTEx	brain_amygdala	UBERON_0001876	"amygdala"	brain (amygdala)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_amygdala.all.tsv.gz
GTEx	brain_amygdala	UBERON_0001876	"amygdala"	brain (amygdala)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_amygdala.all.tsv.gz
GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	"anterior cingulate cortex"	brain (anterior cingulate cortex)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_anterior_cingulate_cortex.all.tsv.gz
GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	"anterior cingulate cortex"	brain (anterior cingulate cortex)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_anterior_cingulate_cortex.all.tsv.gz
GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	"anterior cingulate cortex"	brain (anterior cingulate cortex)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_anterior_cingulate_cortex.all.tsv.gz
GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	"anterior cingulate cortex"	brain (anterior cingulate cortex)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_anterior_cingulate_cortex.all.tsv.gz
