1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Nedelec_2016.macrophage_naive	2.28110904988296	0	0	0.298591284397253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70005924448712	0
Nedelec_2016.macrophage_Salmonella	2.14673625257216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.15798494838561	0
Quach_2016.monocyte_IAV	1.32498016735302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5972515683926	0
Quach_2016.monocyte_LPS	1.65689085340643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7202164512353	0
Quach_2016.monocyte_naive	1.74164039830307	0	0	0.275152871018334	0	0	0.129844091310049	0	0	0	0	0	0.0803553754316916	0	0	0	0	0	0	13.1934243253918	0
Quach_2016.monocyte_Pam3CSK4	1.59136589599765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5737011051971	0
Quach_2016.monocyte_R848	1.51990923189052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7923508706177	0
ROSMAP.brain_naive	2.02810584652786	27.5246356141902	0	0	0	0	0	0	0	0	0	0	0	0	0	7.64069652542036	0	0	0	0	0
Schmiedel_2018.B-cell_naive	1.67331733920941	0	0	0	0.671346233813511	0	0	0	0	0	0	0	6.02924443203527	0	0	0	0	0	0	0	0
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28	1.643238168517	0	0	0	0	0	0	0	0	0	0	11.6561771256986	5.35989119023701	0	0	0	0	0	0	0	0
Schmiedel_2018.CD4_T-cell_naive	1.86691447914123	0	0	0	0	0	0	0	0	0	0	0	10.1250238373177	0	0	0	0	0	0	0	0
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28	1.7344835443554	0	0	0	0	0	0	0	0	0	0	11.0466387150352	5.12971257776689	0	0	0	0	0	0	0	0
Schmiedel_2018.CD8_T-cell_naive	1.86829369795965	0	0	0	0	0	0	0	0	0	0	0	9.79617260514909	0	0	0	0	0	0	0	0
Schmiedel_2018.monocyte_CD16_naive	1.81665821183822	0	0	10.0060675187867	0	0	1.12706133273087	0	0	0	0	0	2.71680294686046	0	0	0	0	0	0	0.842768635115674	0
Schmiedel_2018.monocyte_naive	1.85287717097016	0	0	12.6434143293311	0	0	1.56946961881227	0	0	0	0	0	2.13103563845266	0	0	0	0	0	0	0.846635194974736	0
Schmiedel_2018.NK-cell_naive	1.99504311367731	0	0	0	0	0	0	0	0	0	0	0	6.33386134802952	0	0	0	0	0	0	0	0
Schmiedel_2018.Tfh_memory	1.90014157754621	0	0	0	0	0	0	0	0	0	0	0	10.1235314665607	0	0	0	0	0	0	0	0
Schmiedel_2018.Th1_memory	1.84974738043705	0	0	0	0	0	0	0	0	0	0	0	9.71833133955514	0	0	0	0	0	0	0	0
Schmiedel_2018.Th1-17_memory	1.80815036244394	0	0	0	0	0	0	0	0	0	0	0	9.5567706007545	0	0	0	0	0	0	0	0
Schmiedel_2018.Th17_memory	1.86132946642737	0	0	0	0	0	0	0	0	0	0	0	9.71685561785938	0	0	0	0	0	0	0	0
Schmiedel_2018.Th2_memory	1.85564425059001	0	0	0	0	0	0	0	0	0	0	0	9.89225444752862	0	0	0	0	0	0	0	0
Schmiedel_2018.Treg_memory	1.8987102062085	0	0	0	0	0	0	0	0	0	0	0	8.97154946221008	0	0	0	0	0	0	0	0
Schmiedel_2018.Treg_naive	1.90408477996023	0	0	0	0	0	0	0	0	0	0	0	9.83023885829587	0	0	0	0	0	0	0	0
Schwartzentruber_2018.sensory_neuron	2.6153482442636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508898269652392	0	0	0	0	0
TwinsUK.blood	1.75691075860258	0	0	0	0	0	4.25601195213909	0	12.6012031104266	0	0	0	2.20125513252049	0	0	0	0	0	0	0	0
TwinsUK.fat	2.58817571688556	0	0	0	0	0	0	0	0	0	0	0	0	18.951147396376	3.74274235060311	0	0	0	0	0	0
TwinsUK.LCL	1.47150512575996	0	0	0	14.1309264208056	0	0	0	0	0	0	0	0.223080363588485	0	0.0282117451922082	0	0	0	0	0	0
TwinsUK.skin	2.68355142007182	0	0	0	0	0	0	0	0	0	0	0	0	0.400252491281747	0.129110380131111	0.0774001351867718	0	0	0	0	14.6915776875505
van_de_Bunt_2015.pancreatic_islet	2.58389416006195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
