"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16"
"GTEx.minor_salivary_gland" 6.7352676755476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.muscle" 6.01280802915801 0 0 0 0 0 0 0 0 0 0 0 0 0 17.8599638315238 0
"GTEx.nerve_tibial" 7.02267158850917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.ovary" 6.0762356762857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.pancreas" 6.45555408217675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.pituitary" 6.77674665200043 0 0 0 0 0 0 0 0 0.540640878769361 0 0 0 0 0 0
"GTEx.prostate" 7.19161892227181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.skin_not_sun_exposed" 6.32152549566222 0 13.3562546711277 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.skin_sun_exposed" 6.28700448349487 0 15.4252135383543 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.small_intestine" 6.56235038619427 0 0 0 0 0.182424342116513 0 0 0 0 0 0 0 0 0 0
"GTEx.spleen" 5.82452733642501 0 0 0.819971549732378 0 1.42727303984941 0 0 0 0 0 0 0 0 0 0
"GTEx.stomach" 7.08657866849956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.testis" 4.6683421506224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.thyroid" 6.98058643249743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.uterus" 6.3869801550735 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.vagina" 6.73265958244147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HipSci.iPSC" 4.32110902263332 37.6640240058924 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lepik_2017.blood" 5.11372032818687 0 0 32.5725295975778 0 0.0986914277800032 0 0 0 0 0 0 0 0 0 0
"Nedelec_2016.macrophage_Listeria" 4.1150720222574 0 0 0 0 0 10.0695343134078 0 0 0 5.28099434657533 0 0 0 0 0
"Nedelec_2016.macrophage_naive" 4.16385731783882 0 0 0 0 0 7.29704476279007 0 0 0 5.70025223295987 0 0 0 0 0
"Nedelec_2016.macrophage_Salmonella" 3.77648777514787 0 0 0 0 0 9.36432576061187 0 0 0 5.39548210840995 0 0 0 0 0
"Quach_2016.monocyte_IAV" 2.13401502868862 0 0 0 0 0 20.9966414955925 0 0 0 0 0 0 0 0 0
"Quach_2016.monocyte_LPS" 2.65402242733066 0 0 0 0 0 23.9325909965289 0 0 0 0 0 0 0 0 0
"Quach_2016.monocyte_naive" 3.00181445799382 0 0 0 0 0 20.0814526184761 0 0 0 0 0.594105730776028 0 0 0 0
"Quach_2016.monocyte_Pam3CSK4" 2.54598028720416 0 0 0 0 0 23.7067762444466 0 0 0 0 0 0 0 0 0
"Quach_2016.monocyte_R848" 2.36679470399098 0 0 0 0 0 24.0041552596595 0 0 0 0 0 0 0 0 0
"ROSMAP.brain_naive" 4.28503116872552 0 0 0 0 0 0 0 0 10.665593291615 0 0 0 33.5935079820595 0 0
"Schmiedel_2018.B-cell_naive" 3.00550502656859 0 0 0 0 8.17904455837509 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.CD4_T-cell_anti-CD3-CD28" 2.86104397796025 0 0 0 0 7.27532347569353 0 0 12.8483797438714 0 0 0 0 0 0 0
"Schmiedel_2018.CD4_T-cell_naive" 3.10254463452716 0 0 0 0 13.6325348770532 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.CD8_T-cell_anti-CD3-CD28" 3.00482051840538 0 0 0 0 6.98303773355843 0 0 12.2120794098694 0 0 0 0 0 0 0
"Schmiedel_2018.CD8_T-cell_naive" 3.13197718682695 0 0 0 0 13.2274778409674 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.monocyte_CD16_naive" 3.71832389308863 0 0 0 0 2.44571133912004 0.0980873785082032 0 0 0 0 14.3502374844019 0 0 0 0
"Schmiedel_2018.monocyte_naive" 3.81102144552019 0 0 0 0 1.46210258190026 0 0 0 0 0 18.1000586380273 0 0 0 0
"Schmiedel_2018.NK-cell_naive" 3.50235656080877 0 0 0 0 8.49947968760144 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Tfh_memory" 3.0951716381853 0 0 0 0 13.7465837768102 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Th1-17_memory" 2.94944954479887 0 0 0 0 12.9727751579982 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Th17_memory" 3.04687680529308 0 0 0 0 13.2057462863928 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Th1_memory" 3.00825592120976 0 0 0 0 13.1485417874196 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Th2_memory" 3.00892821030217 0 0 0 0 13.428472005317 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Treg_memory" 3.12940251866458 0 0 0 0 12.2817242654799 0 0 0 0 0 0 0 0 0 0
"Schmiedel_2018.Treg_naive" 3.18062699499534 0 0 0 0 13.2784947768686 0 0 0 0 0 0 0 0 0 0
"Schwartzentruber_2018.sensory_neuron" 4.7718831841443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TwinsUK.blood" 3.7838559210848 0 0 18.5964645052465 0 1.36694504129974 0 0 0 0 0 0 0 0 0 1.7372255768918
"TwinsUK.fat" 6.64442325817166 0 0 0 0 0 0 25.260158559903 0 0 0 0 0 0 0 0
"TwinsUK.LCL" 3.10056220144202 0 0 0 20.2681474877864 0.196957117094789 0 0 0 0 0 0 0 0 0 0
"TwinsUK.skin" 6.83744683999627 0 21.3338319385573 0 0 0 0 0 0 0 0 0 0 0 0 0
"van_de_Bunt_2015.pancreatic_islet" 4.76761888912128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
