gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	cell_type_class
CD-ebi-a-GCST004132	Quach_2016.monocyte_Pam3CSK4_exon	5	5	196	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_R848_exon	8	8	191	immune cell
CD-ebi-a-GCST004132	ROSMAP.brain_naive_exon	5	5	576	other
CD-ebi-a-GCST004132	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	2	1	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	1	1	88	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Th1_memory_exon	1	1	82	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Th1-17_memory_exon	1	1	88	immune cell
CD-ebi-a-GCST004132	TwinsUK.fat_exon	3	2	381	other
CD-ebi-a-GCST004132	TwinsUK.LCL_exon	5	4	418	immune cell
CD-ebi-a-GCST004132	TwinsUK.skin_exon	4	4	370	other
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_IFNg_exon	1	1	84	immune cell
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_IFNg+Salmonella_exon	2	2	84	immune cell
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_naive_exon	1	1	84	immune cell
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	immune cell
HEIGHT-ukb-a-389	BLUEPRINT_PE.T-cell_exon	9	9	167	immune cell
HEIGHT-ukb-a-389	BLUEPRINT_SE.monocyte_exon	11	10	191	immune cell
HEIGHT-ukb-a-389	BLUEPRINT_SE.neutrophil_exon	7	7	196	immune cell
HEIGHT-ukb-a-389	BrainSeq.brain_exon	7	7	479	other
HEIGHT-ukb-a-389	FUSION.adipose_naive_exon	8	8	271	other
HEIGHT-ukb-a-389	FUSION.muscle_naive_exon	11	11	288	other
HEIGHT-ukb-a-389	GENCORD.fibroblast_exon	3	3	186	immune cell
HEIGHT-ukb-a-389	GENCORD.LCL_exon	3	3	190	immune cell
HEIGHT-ukb-a-389	GENCORD.T-cell_exon	2	2	184	immune cell
HEIGHT-ukb-a-389	GEUVADIS.LCL_exon	7	7	445	immune cell
HEIGHT-ukb-a-389	HipSci.iPSC_exon	11	11	322	other
HEIGHT-ukb-a-389	Lepik_2017.blood_exon	6	6	471	immune cell
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_Listeria_exon	3	3	163	immune cell
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_naive_exon	1	1	163	immune cell
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_Salmonella_exon	2	2	167	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_IAV_exon	9	6	198	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_LPS_exon	5	4	184	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_naive_exon	5	5	200	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_Pam3CSK4_exon	5	5	196	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_R848_exon	5	4	191	immune cell
HEIGHT-ukb-a-389	ROSMAP.brain_naive_exon	20	19	576	other
HEIGHT-ukb-a-389	Schmiedel_2018.B-cell_naive_exon	1	1	91	immune cell
HEIGHT-ukb-a-389	Schwartzentruber_2018.sensory_neuron_exon	3	3	98	other
HEIGHT-ukb-a-389	TwinsUK.blood_exon	1	1	195	immune cell
HEIGHT-ukb-a-389	TwinsUK.fat_exon	9	9	381	other
HEIGHT-ukb-a-389	TwinsUK.LCL_exon	11	11	418	immune cell
HEIGHT-ukb-a-389	TwinsUK.skin_exon	7	7	370	other
HEIGHT-ukb-a-389	van_de_Bunt_2015.pancreatic_islet_exon	2	2	117	other
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
IBD-ebi-a-GCST004131	BLUEPRINT_PE.T-cell_exon	1	1	167	immune cell
IBD-ebi-a-GCST004131	BLUEPRINT_SE.monocyte_exon	5	5	191	immune cell
IBD-ebi-a-GCST004131	BLUEPRINT_SE.neutrophil_exon	3	3	196	immune cell
IBD-ebi-a-GCST004131	BrainSeq.brain_exon	1	1	479	other
IBD-ebi-a-GCST004131	FUSION.adipose_naive_exon	3	3	271	other
IBD-ebi-a-GCST004131	FUSION.muscle_naive_exon	1	1	288	other
IBD-ebi-a-GCST004131	GENCORD.LCL_exon	3	3	190	immune cell
IBD-ebi-a-GCST004131	GEUVADIS.LCL_exon	8	8	445	immune cell
IBD-ebi-a-GCST004131	HipSci.iPSC_exon	3	3	322	other
IBD-ebi-a-GCST004131	Lepik_2017.blood_exon	5	5	471	immune cell
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_Listeria_exon	1	1	163	immune cell
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_Salmonella_exon	3	3	167	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_IAV_exon	5	4	198	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_LPS_exon	2	2	184	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_naive_exon	4	4	200	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_Pam3CSK4_exon	3	3	196	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_R848_exon	5	5	191	immune cell
IBD-ebi-a-GCST004131	ROSMAP.brain_naive_exon	7	7	576	other
IBD-ebi-a-GCST004131	Schmiedel_2018.B-cell_naive_exon	1	1	91	immune cell
IBD-ebi-a-GCST004131	Schwartzentruber_2018.sensory_neuron_exon	1	1	98	other
IBD-ebi-a-GCST004131	TwinsUK.blood_exon	2	2	195	immune cell
IBD-ebi-a-GCST004131	TwinsUK.fat_exon	5	4	381	other
IBD-ebi-a-GCST004131	TwinsUK.LCL_exon	5	5	418	immune cell
IBD-ebi-a-GCST004131	TwinsUK.skin_exon	1	1	370	other
LC-ebi-a-GCST004627	BLUEPRINT_PE.T-cell_exon	11	11	167	immune cell
LC-ebi-a-GCST004627	BLUEPRINT_SE.monocyte_exon	7	7	191	immune cell
LC-ebi-a-GCST004627	BLUEPRINT_SE.neutrophil_exon	11	10	196	immune cell
LC-ebi-a-GCST004627	BrainSeq.brain_exon	1	1	479	other
LC-ebi-a-GCST004627	FUSION.adipose_naive_exon	4	4	271	other
LC-ebi-a-GCST004627	FUSION.muscle_naive_exon	4	4	288	other
LC-ebi-a-GCST004627	GEUVADIS.LCL_exon	6	4	445	immune cell
LC-ebi-a-GCST004627	HipSci.iPSC_exon	5	5	322	other
LC-ebi-a-GCST004627	Lepik_2017.blood_exon	10	9	471	immune cell
LC-ebi-a-GCST004627	Nedelec_2016.macrophage_Listeria_exon	1	1	163	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_LPS_exon	2	2	184	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_naive_exon	4	3	200	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_Pam3CSK4_exon	4	4	196	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_R848_exon	4	3	191	immune cell
LC-ebi-a-GCST004627	ROSMAP.brain_naive_exon	9	9	576	other
LC-ebi-a-GCST004627	Schmiedel_2018.monocyte_naive_exon	1	1	91	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.NK-cell_naive_exon	1	1	90	immune cell
LC-ebi-a-GCST004627	TwinsUK.blood_exon	3	3	195	immune cell
LC-ebi-a-GCST004627	TwinsUK.fat_exon	5	5	381	other
LC-ebi-a-GCST004627	TwinsUK.LCL_exon	6	5	418	immune cell
LC-ebi-a-GCST004627	TwinsUK.skin_exon	1	1	370	other
LDLC	Alasoo_2018.macrophage_IFNg_exon	2	2	84	immune cell
LDLC	Alasoo_2018.macrophage_IFNg+Salmonella_exon	4	3	84	immune cell
LDLC	Alasoo_2018.macrophage_naive_exon	1	1	84	immune cell
LDLC	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	immune cell
LDLC	BLUEPRINT_PE.T-cell_exon	6	5	167	immune cell
LDLC	BLUEPRINT_SE.monocyte_exon	5	5	191	immune cell
LDLC	BLUEPRINT_SE.neutrophil_exon	6	6	196	immune cell
LDLC	BrainSeq.brain_exon	2	2	479	other
LDLC	FUSION.adipose_naive_exon	15	14	271	other
LDLC	FUSION.muscle_naive_exon	4	4	288	other
LDLC	GENCORD.fibroblast_exon	2	2	186	immune cell
LDLC	GENCORD.LCL_exon	3	3	190	immune cell
LDLC	GENCORD.T-cell_exon	1	1	184	immune cell
LDLC	GEUVADIS.LCL_exon	3	3	445	immune cell
LDLC	HipSci.iPSC_exon	9	9	322	other
LDLC	Lepik_2017.blood_exon	6	6	471	immune cell
LDLC	Nedelec_2016.macrophage_Listeria_exon	2	2	163	immune cell
LDLC	Nedelec_2016.macrophage_Salmonella_exon	2	2	167	immune cell
LDLC	Quach_2016.monocyte_IAV_exon	4	4	198	immune cell
LDLC	Quach_2016.monocyte_LPS_exon	3	3	184	immune cell
LDLC	Quach_2016.monocyte_naive_exon	7	7	200	immune cell
LDLC	Quach_2016.monocyte_Pam3CSK4_exon	1	1	196	immune cell
LDLC	Quach_2016.monocyte_R848_exon	2	2	191	immune cell
LDLC	ROSMAP.brain_naive_exon	13	13	576	other
LDLC	Schmiedel_2018.B-cell_naive_exon	1	1	91	immune cell
LDLC	Schmiedel_2018.monocyte_naive_exon	2	2	91	immune cell
LDLC	Schmiedel_2018.Th17_memory_exon	1	1	89	immune cell
LDLC	TwinsUK.blood_exon	1	1	195	immune cell
LDLC	TwinsUK.fat_exon	8	7	381	other
LDLC	TwinsUK.LCL_exon	3	3	418	immune cell
LDLC	TwinsUK.skin_exon	2	1	370	other
LDLC	van_de_Bunt_2015.pancreatic_islet_exon	2	2	117	other
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_IFNg_exon	1	1	84	immune cell
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_naive_exon	1	1	84	immune cell
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_Salmonella_exon	2	2	84	immune cell
MC-ebi-a-GCST004625	BLUEPRINT_PE.T-cell_exon	6	6	167	immune cell
MC-ebi-a-GCST004625	BLUEPRINT_SE.monocyte_exon	17	14	191	immune cell
MC-ebi-a-GCST004625	BLUEPRINT_SE.neutrophil_exon	14	13	196	immune cell
MC-ebi-a-GCST004625	BrainSeq.brain_exon	2	2	479	other
MC-ebi-a-GCST004625	FUSION.adipose_naive_exon	3	3	271	other
MC-ebi-a-GCST004625	FUSION.muscle_naive_exon	4	4	288	other
MC-ebi-a-GCST004625	GENCORD.fibroblast_exon	1	1	186	immune cell
MC-ebi-a-GCST004625	GENCORD.LCL_exon	1	1	190	immune cell
MC-ebi-a-GCST004625	GENCORD.T-cell_exon	1	1	184	immune cell
MC-ebi-a-GCST004625	GEUVADIS.LCL_exon	2	1	445	immune cell
MC-ebi-a-GCST004625	HipSci.iPSC_exon	2	2	322	other
MC-ebi-a-GCST004625	Lepik_2017.blood_exon	10	9	471	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_IAV_exon	6	3	198	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_LPS_exon	4	1	184	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_naive_exon	6	3	200	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_Pam3CSK4_exon	5	1	196	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_R848_exon	6	2	191	immune cell
MC-ebi-a-GCST004625	ROSMAP.brain_naive_exon	6	6	576	other
MC-ebi-a-GCST004625	Schmiedel_2018.Th17_memory_exon	1	1	89	immune cell
MC-ebi-a-GCST004625	TwinsUK.blood_exon	2	2	195	immune cell
MC-ebi-a-GCST004625	TwinsUK.fat_exon	4	4	381	other
MC-ebi-a-GCST004625	TwinsUK.LCL_exon	2	2	418	immune cell
MPV-ebi-a-GCST004599	BLUEPRINT_PE.T-cell_exon	4	4	167	immune cell
MPV-ebi-a-GCST004599	BLUEPRINT_SE.monocyte_exon	7	7	191	immune cell
MPV-ebi-a-GCST004599	BLUEPRINT_SE.neutrophil_exon	10	8	196	immune cell
MPV-ebi-a-GCST004599	FUSION.adipose_naive_exon	3	3	271	other
MPV-ebi-a-GCST004599	FUSION.muscle_naive_exon	1	1	288	other
MPV-ebi-a-GCST004599	GENCORD.fibroblast_exon	1	1	186	immune cell
MPV-ebi-a-GCST004599	GENCORD.LCL_exon	1	1	190	immune cell
MPV-ebi-a-GCST004599	GENCORD.T-cell_exon	2	2	184	immune cell
MPV-ebi-a-GCST004599	GEUVADIS.LCL_exon	1	1	445	immune cell
MPV-ebi-a-GCST004599	HipSci.iPSC_exon	5	5	322	other
MPV-ebi-a-GCST004599	Lepik_2017.blood_exon	5	5	471	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_IAV_exon	1	1	198	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_LPS_exon	1	1	184	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_Pam3CSK4_exon	1	1	196	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_R848_exon	1	1	191	immune cell
MPV-ebi-a-GCST004599	ROSMAP.brain_naive_exon	6	4	576	other
MPV-ebi-a-GCST004599	Schmiedel_2018.CD8_T-cell_naive_exon	1	1	89	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.Th2_memory_exon	1	1	89	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.Treg_memory_exon	1	1	89	immune cell
MPV-ebi-a-GCST004599	TwinsUK.blood_exon	1	1	195	immune cell
MPV-ebi-a-GCST004599	TwinsUK.fat_exon	4	4	381	other
MPV-ebi-a-GCST004599	TwinsUK.LCL_exon	3	2	418	immune cell
MPV-ebi-a-GCST004599	TwinsUK.skin_exon	4	3	370	other
PLT-ebi-a-GCST004603	Alasoo_2018.macrophage_IFNg_exon	1	1	84	immune cell
PLT-ebi-a-GCST004603	BLUEPRINT_PE.T-cell_exon	5	5	167	immune cell
PLT-ebi-a-GCST004603	BLUEPRINT_SE.monocyte_exon	7	6	191	immune cell
PLT-ebi-a-GCST004603	BLUEPRINT_SE.neutrophil_exon	6	6	196	immune cell
PLT-ebi-a-GCST004603	BrainSeq.brain_exon	1	1	479	other
PLT-ebi-a-GCST004603	FUSION.adipose_naive_exon	4	4	271	other
PLT-ebi-a-GCST004603	FUSION.muscle_naive_exon	2	2	288	other
PLT-ebi-a-GCST004603	GENCORD.fibroblast_exon	1	1	186	immune cell
PLT-ebi-a-GCST004603	GENCORD.LCL_exon	2	2	190	immune cell
PLT-ebi-a-GCST004603	GENCORD.T-cell_exon	1	1	184	immune cell
PLT-ebi-a-GCST004603	HipSci.iPSC_exon	2	2	322	other
PLT-ebi-a-GCST004603	Lepik_2017.blood_exon	6	6	471	immune cell
PLT-ebi-a-GCST004603	Nedelec_2016.macrophage_Listeria_exon	1	1	163	immune cell
PLT-ebi-a-GCST004603	Nedelec_2016.macrophage_Salmonella_exon	1	1	167	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_IAV_exon	3	3	198	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_LPS_exon	6	6	184	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_naive_exon	3	3	200	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_Pam3CSK4_exon	6	6	196	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_R848_exon	1	1	191	immune cell
PLT-ebi-a-GCST004603	ROSMAP.brain_naive_exon	13	13	576	other
PLT-ebi-a-GCST004603	TwinsUK.blood_exon	3	3	195	immune cell
PLT-ebi-a-GCST004603	TwinsUK.fat_exon	7	7	381	other
PLT-ebi-a-GCST004603	TwinsUK.LCL_exon	4	4	418	immune cell
PLT-ebi-a-GCST004603	TwinsUK.skin_exon	2	2	370	other
RA-ebi-a-GCST002318	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
RA-ebi-a-GCST002318	BLUEPRINT_PE.T-cell_exon	6	6	167	immune cell
RA-ebi-a-GCST002318	BLUEPRINT_SE.monocyte_exon	5	5	191	immune cell
RA-ebi-a-GCST002318	BLUEPRINT_SE.neutrophil_exon	1	1	196	immune cell
RA-ebi-a-GCST002318	BrainSeq.brain_exon	1	1	479	other
RA-ebi-a-GCST002318	FUSION.adipose_naive_exon	2	2	271	other
RA-ebi-a-GCST002318	FUSION.muscle_naive_exon	1	1	288	other
RA-ebi-a-GCST002318	GENCORD.LCL_exon	2	2	190	immune cell
RA-ebi-a-GCST002318	GEUVADIS.LCL_exon	3	3	445	immune cell
RA-ebi-a-GCST002318	HipSci.iPSC_exon	4	4	322	other
RA-ebi-a-GCST002318	Lepik_2017.blood_exon	4	4	471	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_LPS_exon	1	1	184	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_naive_exon	2	2	200	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_Pam3CSK4_exon	1	1	196	immune cell
RA-ebi-a-GCST002318	ROSMAP.brain_naive_exon	7	7	576	other
RA-ebi-a-GCST002318	Schmiedel_2018.B-cell_naive_exon	1	1	91	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.CD8_T-cell_naive_exon	1	1	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.monocyte_CD16_naive_exon	1	1	90	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.monocyte_naive_exon	1	1	91	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Tfh_memory_exon	1	1	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th1_memory_exon	1	1	82	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th1-17_memory_exon	2	2	88	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th17_memory_exon	2	2	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Treg_naive_exon	1	1	89	immune cell
RA-ebi-a-GCST002318	Schwartzentruber_2018.sensory_neuron_exon	1	1	98	other
RA-ebi-a-GCST002318	TwinsUK.fat_exon	2	2	381	other
RA-ebi-a-GCST002318	TwinsUK.LCL_exon	6	5	418	immune cell
SLE-ebi-a-GCST003156	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
SLE-ebi-a-GCST003156	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	immune cell
SLE-ebi-a-GCST003156	BLUEPRINT_PE.T-cell_exon	4	4	167	immune cell
SLE-ebi-a-GCST003156	BLUEPRINT_SE.monocyte_exon	5	5	191	immune cell
SLE-ebi-a-GCST003156	BLUEPRINT_SE.neutrophil_exon	4	4	196	immune cell
SLE-ebi-a-GCST003156	BrainSeq.brain_exon	1	1	479	other
SLE-ebi-a-GCST003156	FUSION.adipose_naive_exon	1	1	271	other
SLE-ebi-a-GCST003156	FUSION.muscle_naive_exon	2	2	288	other
SLE-ebi-a-GCST003156	GENCORD.LCL_exon	1	1	190	immune cell
SLE-ebi-a-GCST003156	GENCORD.T-cell_exon	1	1	184	immune cell
SLE-ebi-a-GCST003156	GEUVADIS.LCL_exon	1	1	445	immune cell
SLE-ebi-a-GCST003156	HipSci.iPSC_exon	1	1	322	other
SLE-ebi-a-GCST003156	Lepik_2017.blood_exon	3	3	471	immune cell
SLE-ebi-a-GCST003156	Nedelec_2016.macrophage_Listeria_exon	2	2	163	immune cell
SLE-ebi-a-GCST003156	Nedelec_2016.macrophage_Salmonella_exon	3	3	167	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_LPS_exon	3	3	184	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_naive_exon	2	2	200	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_Pam3CSK4_exon	4	4	196	immune cell
SLE-ebi-a-GCST003156	ROSMAP.brain_naive_exon	3	2	576	other
SLE-ebi-a-GCST003156	Schmiedel_2018.CD4_T-cell_naive_exon	1	1	88	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.CD8_T-cell_naive_exon	1	1	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Tfh_memory_exon	1	1	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Th17_memory_exon	1	1	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Treg_memory_exon	1	1	89	immune cell
SLE-ebi-a-GCST003156	TwinsUK.fat_exon	2	2	381	other
SLE-ebi-a-GCST003156	TwinsUK.LCL_exon	2	2	418	immune cell
SLE-ebi-a-GCST003156	TwinsUK.skin_exon	1	1	370	other
T2D1-ebi-a-GCST006867	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
T2D1-ebi-a-GCST006867	Alasoo_2018.macrophage_naive_exon	1	1	84	immune cell
T2D1-ebi-a-GCST006867	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	immune cell
T2D1-ebi-a-GCST006867	BLUEPRINT_PE.T-cell_exon	5	5	167	immune cell
T2D1-ebi-a-GCST006867	BLUEPRINT_SE.monocyte_exon	5	5	191	immune cell
T2D1-ebi-a-GCST006867	BLUEPRINT_SE.neutrophil_exon	6	6	196	immune cell
T2D1-ebi-a-GCST006867	BrainSeq.brain_exon	3	2	479	other
T2D1-ebi-a-GCST006867	FUSION.adipose_naive_exon	3	3	271	other
T2D1-ebi-a-GCST006867	FUSION.muscle_naive_exon	1	1	288	other
T2D1-ebi-a-GCST006867	GENCORD.fibroblast_exon	1	1	186	immune cell
T2D1-ebi-a-GCST006867	GENCORD.LCL_exon	1	1	190	immune cell
T2D1-ebi-a-GCST006867	GENCORD.T-cell_exon	1	1	184	immune cell
T2D1-ebi-a-GCST006867	HipSci.iPSC_exon	4	4	322	other
T2D1-ebi-a-GCST006867	Lepik_2017.blood_exon	5	5	471	immune cell
T2D1-ebi-a-GCST006867	Nedelec_2016.macrophage_Listeria_exon	2	2	163	immune cell
T2D1-ebi-a-GCST006867	Quach_2016.monocyte_IAV_exon	2	2	198	immune cell
T2D1-ebi-a-GCST006867	Quach_2016.monocyte_LPS_exon	2	2	184	immune cell
T2D1-ebi-a-GCST006867	Quach_2016.monocyte_naive_exon	1	1	200	immune cell
T2D1-ebi-a-GCST006867	Quach_2016.monocyte_Pam3CSK4_exon	2	2	196	immune cell
T2D1-ebi-a-GCST006867	Quach_2016.monocyte_R848_exon	4	4	191	immune cell
T2D1-ebi-a-GCST006867	ROSMAP.brain_naive_exon	8	8	576	other
T2D1-ebi-a-GCST006867	TwinsUK.fat_exon	6	5	381	other
T2D1-ebi-a-GCST006867	TwinsUK.LCL_exon	3	3	418	immune cell
T2D1-ebi-a-GCST006867	TwinsUK.skin_exon	3	3	370	other
