gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	present_in_GTEx	cell_type_class	sample_size_norm_novel_LD_block_count	gwas_class	gwas_id_short
BMI-ukb-a-248	Schmiedel_2018.Th1-17_memory_exon	1	1	88	FALSE	immune cell	0.011363636363636364	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th17_memory_exon	1	1	89	FALSE	immune cell	0.011235955056179775	non-immune	BMI
BMI-ukb-a-248	TwinsUK.LCL_exon	4	4	418	TRUE	immune cell	0.009569377990430622	non-immune	BMI
BMI-ukb-a-248	TwinsUK.skin_exon	2	2	370	TRUE	other	0.005405405405405406	non-immune	BMI
BMI-ukb-a-248	Alasoo_2018.macrophage_naive_exon	0	0	84	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg_exon	0	0	84	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	GENCORD.LCL_exon	0	0	190	TRUE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	GENCORD.fibroblast_exon	0	0	186	TRUE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	GENCORD.T-cell_exon	0	0	184	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Tfh_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th1_memory_exon	0	0	82	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th2_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Treg_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Treg_naive_exon	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.CD4_T-cell_naive_exon	0	0	88	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	0	0	88	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.monocyte_CD16_naive_exon	0	0	90	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.monocyte_naive_exon	0	0	91	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.NK-cell_naive_exon	0	0	90	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schwartzentruber_2018.sensory_neuron_exon	0	0	98	FALSE	other	0	non-immune	BMI
BMI-ukb-a-248	TwinsUK.fat_exon	0	0	381	TRUE	other	0	non-immune	BMI
BMI-ukb-a-248	TwinsUK.blood_exon	0	0	195	TRUE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	van_de_Bunt_2015.pancreatic_islet_exon	0	0	117	TRUE	other	0	non-immune	BMI
CAD-ebi-a-GCST003116	BLUEPRINT_SE.monocyte_exon	1	1	191	FALSE	immune cell	0.005235602094240838	non-immune	CAD
CAD-ebi-a-GCST003116	BLUEPRINT_SE.neutrophil_exon	3	3	196	FALSE	immune cell	0.015306122448979591	non-immune	CAD
CAD-ebi-a-GCST003116	GENCORD.T-cell_exon	1	1	184	FALSE	immune cell	0.005434782608695652	non-immune	CAD
CAD-ebi-a-GCST003116	GEUVADIS.LCL_exon	1	1	445	TRUE	immune cell	0.0022471910112359553	non-immune	CAD
CAD-ebi-a-GCST003116	HipSci.iPSC_exon	1	1	322	FALSE	other	0.003105590062111801	non-immune	CAD
CAD-ebi-a-GCST003116	Lepik_2017.blood_exon	3	3	471	TRUE	immune cell	0.006369426751592357	non-immune	CAD
CAD-ebi-a-GCST003116	Quach_2016.monocyte_LPS_exon	1	1	184	FALSE	immune cell	0.005434782608695652	non-immune	CAD
CAD-ebi-a-GCST003116	Quach_2016.monocyte_naive_exon	2	1	200	FALSE	immune cell	0.005	non-immune	CAD
CAD-ebi-a-GCST003116	Quach_2016.monocyte_Pam3CSK4_exon	2	2	196	FALSE	immune cell	0.01020408163265306	non-immune	CAD
CAD-ebi-a-GCST003116	ROSMAP.brain_naive_exon	4	4	576	TRUE	other	0.006944444444444444	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.CD4_T-cell_naive_exon	1	1	88	FALSE	immune cell	0.011363636363636364	non-immune	CAD
CAD-ebi-a-GCST003116	Alasoo_2018.macrophage_naive_exon	0	0	84	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Alasoo_2018.macrophage_IFNg_exon	0	0	84	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Alasoo_2018.macrophage_Salmonella_exon	0	0	84	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Alasoo_2018.macrophage_IFNg+Salmonella_exon	0	0	84	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	BLUEPRINT_PE.T-cell_exon	0	0	167	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	BrainSeq.brain_exon	0	0	479	TRUE	other	0	non-immune	CAD
CAD-ebi-a-GCST003116	FUSION.adipose_naive_exon	0	0	271	TRUE	other	0	non-immune	CAD
CAD-ebi-a-GCST003116	FUSION.muscle_naive_exon	0	0	288	TRUE	other	0	non-immune	CAD
CAD-ebi-a-GCST003116	GENCORD.LCL_exon	0	0	190	TRUE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	GENCORD.fibroblast_exon	0	0	186	TRUE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Nedelec_2016.macrophage_Listeria_exon	0	0	163	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Nedelec_2016.macrophage_naive_exon	0	0	163	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Nedelec_2016.macrophage_Salmonella_exon	0	0	167	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Quach_2016.monocyte_R848_exon	0	0	191	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Quach_2016.monocyte_IAV_exon	0	0	198	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Tfh_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Th17_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Th1_memory_exon	0	0	82	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Th2_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Th1-17_memory_exon	0	0	88	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Treg_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.Treg_naive_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.B-cell_naive_exon	0	0	91	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.CD8_T-cell_naive_exon	0	0	89	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	0	0	88	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.monocyte_CD16_naive_exon	0	0	90	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.monocyte_naive_exon	0	0	91	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schmiedel_2018.NK-cell_naive_exon	0	0	90	FALSE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	Schwartzentruber_2018.sensory_neuron_exon	0	0	98	FALSE	other	0	non-immune	CAD
CAD-ebi-a-GCST003116	TwinsUK.fat_exon	0	0	381	TRUE	other	0	non-immune	CAD
CAD-ebi-a-GCST003116	TwinsUK.LCL_exon	0	0	418	TRUE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	TwinsUK.skin_exon	0	0	370	TRUE	other	0	non-immune	CAD
CAD-ebi-a-GCST003116	TwinsUK.blood_exon	0	0	195	TRUE	immune cell	0	non-immune	CAD
CAD-ebi-a-GCST003116	van_de_Bunt_2015.pancreatic_islet_exon	0	0	117	TRUE	other	0	non-immune	CAD
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_IFNg_exon	1	1	84	FALSE	immune cell	0.011904761904761904	immune	CD
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	FALSE	immune cell	0.011904761904761904	immune	CD
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	FALSE	immune cell	0.011904761904761904	immune	CD
CD-ebi-a-GCST004132	BLUEPRINT_PE.T-cell_exon	4	4	167	FALSE	immune cell	0.023952095808383235	immune	CD
CD-ebi-a-GCST004132	BLUEPRINT_SE.monocyte_exon	9	9	191	FALSE	immune cell	0.04712041884816754	immune	CD
CD-ebi-a-GCST004132	BLUEPRINT_SE.neutrophil_exon	3	3	196	FALSE	immune cell	0.015306122448979591	immune	CD
CD-ebi-a-GCST004132	FUSION.muscle_naive_exon	2	2	288	TRUE	other	0.006944444444444444	immune	CD
CD-ebi-a-GCST004132	GENCORD.fibroblast_exon	2	2	186	TRUE	immune cell	0.010752688172043012	immune	CD
CD-ebi-a-GCST004132	GENCORD.LCL_exon	1	1	190	TRUE	immune cell	0.005263157894736842	immune	CD
CD-ebi-a-GCST004132	GENCORD.T-cell_exon	5	3	184	FALSE	immune cell	0.016304347826086956	immune	CD
CD-ebi-a-GCST004132	GEUVADIS.LCL_exon	8	7	445	TRUE	immune cell	0.015730337078651686	immune	CD
CD-ebi-a-GCST004132	HipSci.iPSC_exon	3	3	322	FALSE	other	0.009316770186335404	immune	CD
CD-ebi-a-GCST004132	Lepik_2017.blood_exon	5	5	471	TRUE	immune cell	0.010615711252653927	immune	CD
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_Listeria_exon	2	2	163	FALSE	immune cell	0.012269938650306749	immune	CD
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_Salmonella_exon	7	6	167	FALSE	immune cell	0.03592814371257485	immune	CD
CD-ebi-a-GCST004132	Quach_2016.monocyte_IAV_exon	4	4	198	FALSE	immune cell	0.020202020202020204	immune	CD
CD-ebi-a-GCST004132	Quach_2016.monocyte_LPS_exon	6	6	184	FALSE	immune cell	0.03260869565217391	immune	CD
CD-ebi-a-GCST004132	Quach_2016.monocyte_naive_exon	7	7	200	FALSE	immune cell	0.035	immune	CD
CD-ebi-a-GCST004132	Quach_2016.monocyte_Pam3CSK4_exon	5	5	196	FALSE	immune cell	0.025510204081632654	immune	CD
CD-ebi-a-GCST004132	Quach_2016.monocyte_R848_exon	8	8	191	FALSE	immune cell	0.041884816753926704	immune	CD
CD-ebi-a-GCST004132	ROSMAP.brain_naive_exon	5	5	576	TRUE	other	0.008680555555555556	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	2	1	89	FALSE	immune cell	0.011235955056179775	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	1	1	88	FALSE	immune cell	0.011363636363636364	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Th1_memory_exon	1	1	82	FALSE	immune cell	0.012195121951219513	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Th1-17_memory_exon	1	1	88	FALSE	immune cell	0.011363636363636364	immune	CD
CD-ebi-a-GCST004132	TwinsUK.fat_exon	3	2	381	TRUE	other	0.005249343832020997	immune	CD
CD-ebi-a-GCST004132	TwinsUK.LCL_exon	5	4	418	TRUE	immune cell	0.009569377990430622	immune	CD
CD-ebi-a-GCST004132	TwinsUK.skin_exon	4	4	370	TRUE	other	0.010810810810810811	immune	CD
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_naive_exon	0	0	84	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	BrainSeq.brain_exon	0	0	479	TRUE	other	0	immune	CD
CD-ebi-a-GCST004132	FUSION.adipose_naive_exon	0	0	271	TRUE	other	0	immune	CD
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_naive_exon	0	0	163	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Tfh_memory_exon	0	0	89	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Th17_memory_exon	0	0	89	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Th2_memory_exon	0	0	89	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Treg_memory_exon	0	0	89	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.Treg_naive_exon	0	0	89	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.B-cell_naive_exon	0	0	91	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.CD4_T-cell_naive_exon	0	0	88	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.CD8_T-cell_naive_exon	0	0	89	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.monocyte_CD16_naive_exon	0	0	90	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.monocyte_naive_exon	0	0	91	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schmiedel_2018.NK-cell_naive_exon	0	0	90	FALSE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	Schwartzentruber_2018.sensory_neuron_exon	0	0	98	FALSE	other	0	immune	CD
CD-ebi-a-GCST004132	TwinsUK.blood_exon	0	0	195	TRUE	immune cell	0	immune	CD
CD-ebi-a-GCST004132	van_de_Bunt_2015.pancreatic_islet_exon	0	0	117	TRUE	other	0	immune	CD
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_IFNg_exon	1	1	84	FALSE	immune cell	0.011904761904761904	non-immune	HEIGHT
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_IFNg+Salmonella_exon	2	2	84	FALSE	immune cell	0.023809523809523808	non-immune	HEIGHT
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_naive_exon	1	1	84	FALSE	immune cell	0.011904761904761904	non-immune	HEIGHT
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	FALSE	immune cell	0.011904761904761904	non-immune	HEIGHT
HEIGHT-ukb-a-389	BLUEPRINT_PE.T-cell_exon	9	9	167	FALSE	immune cell	0.05389221556886228	non-immune	HEIGHT
HEIGHT-ukb-a-389	BLUEPRINT_SE.monocyte_exon	11	10	191	FALSE	immune cell	0.05235602094240838	non-immune	HEIGHT
HEIGHT-ukb-a-389	BLUEPRINT_SE.neutrophil_exon	7	7	196	FALSE	immune cell	0.03571428571428571	non-immune	HEIGHT
HEIGHT-ukb-a-389	BrainSeq.brain_exon	7	7	479	TRUE	other	0.014613778705636743	non-immune	HEIGHT
HEIGHT-ukb-a-389	FUSION.adipose_naive_exon	8	8	271	TRUE	other	0.02952029520295203	non-immune	HEIGHT
HEIGHT-ukb-a-389	FUSION.muscle_naive_exon	11	11	288	TRUE	other	0.03819444444444445	non-immune	HEIGHT
HEIGHT-ukb-a-389	GENCORD.fibroblast_exon	3	3	186	TRUE	immune cell	0.016129032258064516	non-immune	HEIGHT
HEIGHT-ukb-a-389	GENCORD.LCL_exon	3	3	190	TRUE	immune cell	0.015789473684210527	non-immune	HEIGHT
HEIGHT-ukb-a-389	GENCORD.T-cell_exon	2	2	184	FALSE	immune cell	0.010869565217391304	non-immune	HEIGHT
HEIGHT-ukb-a-389	GEUVADIS.LCL_exon	7	7	445	TRUE	immune cell	0.015730337078651686	non-immune	HEIGHT
HEIGHT-ukb-a-389	HipSci.iPSC_exon	11	11	322	FALSE	other	0.034161490683229816	non-immune	HEIGHT
HEIGHT-ukb-a-389	Lepik_2017.blood_exon	6	6	471	TRUE	immune cell	0.012738853503184714	non-immune	HEIGHT
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_Listeria_exon	3	3	163	FALSE	immune cell	0.018404907975460124	non-immune	HEIGHT
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_naive_exon	1	1	163	FALSE	immune cell	0.006134969325153374	non-immune	HEIGHT
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_Salmonella_exon	2	2	167	FALSE	immune cell	0.011976047904191617	non-immune	HEIGHT
HEIGHT-ukb-a-389	Quach_2016.monocyte_IAV_exon	9	6	198	FALSE	immune cell	0.030303030303030304	non-immune	HEIGHT
HEIGHT-ukb-a-389	Quach_2016.monocyte_LPS_exon	5	4	184	FALSE	immune cell	0.021739130434782608	non-immune	HEIGHT
HEIGHT-ukb-a-389	Quach_2016.monocyte_naive_exon	5	5	200	FALSE	immune cell	0.025	non-immune	HEIGHT
HEIGHT-ukb-a-389	Quach_2016.monocyte_Pam3CSK4_exon	5	5	196	FALSE	immune cell	0.025510204081632654	non-immune	HEIGHT
HEIGHT-ukb-a-389	Quach_2016.monocyte_R848_exon	5	4	191	FALSE	immune cell	0.020942408376963352	non-immune	HEIGHT
HEIGHT-ukb-a-389	ROSMAP.brain_naive_exon	20	19	576	TRUE	other	0.03298611111111111	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.B-cell_naive_exon	1	1	91	FALSE	immune cell	0.01098901098901099	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schwartzentruber_2018.sensory_neuron_exon	3	3	98	FALSE	other	0.030612244897959183	non-immune	HEIGHT
HEIGHT-ukb-a-389	TwinsUK.blood_exon	1	1	195	TRUE	immune cell	0.005128205128205128	non-immune	HEIGHT
HEIGHT-ukb-a-389	TwinsUK.fat_exon	9	9	381	TRUE	other	0.023622047244094488	non-immune	HEIGHT
HEIGHT-ukb-a-389	TwinsUK.LCL_exon	11	11	418	TRUE	immune cell	0.02631578947368421	non-immune	HEIGHT
HEIGHT-ukb-a-389	TwinsUK.skin_exon	7	7	370	TRUE	other	0.01891891891891892	non-immune	HEIGHT
HEIGHT-ukb-a-389	van_de_Bunt_2015.pancreatic_islet_exon	2	2	117	TRUE	other	0.017094017094017096	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Tfh_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Th17_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Th1_memory_exon	0	0	82	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Th2_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Th1-17_memory_exon	0	0	88	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Treg_memory_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.Treg_naive_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.CD4_T-cell_naive_exon	0	0	88	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.CD8_T-cell_naive_exon	0	0	89	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	0	0	88	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.monocyte_CD16_naive_exon	0	0	90	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.monocyte_naive_exon	0	0	91	FALSE	immune cell	0	non-immune	HEIGHT
HEIGHT-ukb-a-389	Schmiedel_2018.NK-cell_naive_exon	0	0	90	FALSE	immune cell	0	non-immune	HEIGHT
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	FALSE	immune cell	0.011904761904761904	immune	IBD
IBD-ebi-a-GCST004131	BLUEPRINT_PE.T-cell_exon	1	1	167	FALSE	immune cell	0.005988023952095809	immune	IBD
IBD-ebi-a-GCST004131	BLUEPRINT_SE.monocyte_exon	5	5	191	FALSE	immune cell	0.02617801047120419	immune	IBD
IBD-ebi-a-GCST004131	BLUEPRINT_SE.neutrophil_exon	3	3	196	FALSE	immune cell	0.015306122448979591	immune	IBD
IBD-ebi-a-GCST004131	BrainSeq.brain_exon	1	1	479	TRUE	other	0.0020876826722338203	immune	IBD
IBD-ebi-a-GCST004131	FUSION.adipose_naive_exon	3	3	271	TRUE	other	0.01107011070110701	immune	IBD
IBD-ebi-a-GCST004131	FUSION.muscle_naive_exon	1	1	288	TRUE	other	0.003472222222222222	immune	IBD
IBD-ebi-a-GCST004131	GENCORD.LCL_exon	3	3	190	TRUE	immune cell	0.015789473684210527	immune	IBD
IBD-ebi-a-GCST004131	GEUVADIS.LCL_exon	8	8	445	TRUE	immune cell	0.017977528089887642	immune	IBD
IBD-ebi-a-GCST004131	HipSci.iPSC_exon	3	3	322	FALSE	other	0.009316770186335404	immune	IBD
IBD-ebi-a-GCST004131	Lepik_2017.blood_exon	5	5	471	TRUE	immune cell	0.010615711252653927	immune	IBD
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_Listeria_exon	1	1	163	FALSE	immune cell	0.006134969325153374	immune	IBD
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_Salmonella_exon	3	3	167	FALSE	immune cell	0.017964071856287425	immune	IBD
IBD-ebi-a-GCST004131	Quach_2016.monocyte_IAV_exon	5	4	198	FALSE	immune cell	0.020202020202020204	immune	IBD
IBD-ebi-a-GCST004131	Quach_2016.monocyte_LPS_exon	2	2	184	FALSE	immune cell	0.010869565217391304	immune	IBD
IBD-ebi-a-GCST004131	Quach_2016.monocyte_naive_exon	4	4	200	FALSE	immune cell	0.02	immune	IBD
IBD-ebi-a-GCST004131	Quach_2016.monocyte_Pam3CSK4_exon	3	3	196	FALSE	immune cell	0.015306122448979591	immune	IBD
IBD-ebi-a-GCST004131	Quach_2016.monocyte_R848_exon	5	5	191	FALSE	immune cell	0.02617801047120419	immune	IBD
IBD-ebi-a-GCST004131	ROSMAP.brain_naive_exon	7	7	576	TRUE	other	0.012152777777777778	immune	IBD
IBD-ebi-a-GCST004131	Schmiedel_2018.B-cell_naive_exon	1	1	91	FALSE	immune cell	0.01098901098901099	immune	IBD
IBD-ebi-a-GCST004131	Schwartzentruber_2018.sensory_neuron_exon	1	1	98	FALSE	other	0.01020408163265306	immune	IBD
IBD-ebi-a-GCST004131	TwinsUK.blood_exon	2	2	195	TRUE	immune cell	0.010256410256410256	immune	IBD
IBD-ebi-a-GCST004131	TwinsUK.fat_exon	5	4	381	TRUE	other	0.010498687664041995	immune	IBD
IBD-ebi-a-GCST004131	TwinsUK.LCL_exon	5	5	418	TRUE	immune cell	0.011961722488038277	immune	IBD
IBD-ebi-a-GCST004131	TwinsUK.skin_exon	1	1	370	TRUE	other	0.002702702702702703	immune	IBD
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_naive_exon	0	0	84	FALSE	immune cell	0	immune	IBD
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_IFNg_exon	0	0	84	FALSE	immune cell	0	immune	IBD
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_Salmonella_exon	0	0	84	FALSE	immune cell	0	immune	IBD
IBD-ebi-a-GCST004131	GENCORD.fibroblast_exon	0	0	186	TRUE	immune cell	0	immune	IBD
IBD-ebi-a-GCST004131	GENCORD.T-cell_exon	0	0	184	FALSE	immune cell	0	immune	IBD
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_naive_exon	0	0	163	FALSE	immune cell	0	immune	IBD
