gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	cell_type_class
LC-ebi-a-GCST004627	CEDAR.B-cell_CD19_microarray	2	2	262	immune cell
LC-ebi-a-GCST004627	CEDAR.monocyte_CD14_microarray	1	1	286	immune cell
LC-ebi-a-GCST004627	CEDAR.neutrophil_CD15_microarray	2	1	280	immune cell
LC-ebi-a-GCST004627	CEDAR.T-cell_CD4_microarray	5	4	290	immune cell
LC-ebi-a-GCST004627	CEDAR.T-cell_CD8_microarray	2	2	277	immune cell
LC-ebi-a-GCST004627	CEDAR.transverse_colon_microarray	8	1	286	other
LC-ebi-a-GCST004627	Fairfax_2012.B-cell_CD19_microarray	7	4	281	immune cell
LC-ebi-a-GCST004627	Fairfax_2014.monocyte_IFN24_microarray	12	8	370	immune cell
LC-ebi-a-GCST004627	Fairfax_2014.monocyte_LPS2_microarray	12	5	256	immune cell
LC-ebi-a-GCST004627	Fairfax_2014.monocyte_LPS24_microarray	5	4	325	immune cell
LC-ebi-a-GCST004627	Fairfax_2014.monocyte_naive_microarray	14	6	420	immune cell
LC-ebi-a-GCST004627	FUSION.adipose_naive_ge	3	1	271	other
LC-ebi-a-GCST004627	FUSION.muscle_naive_ge	5	2	288	other
LC-ebi-a-GCST004627	GENCORD.LCL_ge	1	1	190	immune cell
LC-ebi-a-GCST004627	GENCORD.T-cell_ge	11	3	184	immune cell
LC-ebi-a-GCST004627	GEUVADIS.LCL_ge	5	4	445	immune cell
LC-ebi-a-GCST004627	HipSci.iPSC_ge	6	2	322	other
LC-ebi-a-GCST004627	Kasela_2017.T-cell_CD4_microarray	6	3	280	immune cell
LC-ebi-a-GCST004627	Kasela_2017.T-cell_CD8_microarray	8	3	269	immune cell
LC-ebi-a-GCST004627	Lepik_2017.blood_ge	51	12	471	immune cell
LC-ebi-a-GCST004627	Naranbhai_2015.neutrophil_CD16_microarray	5	2	93	immune cell
LC-ebi-a-GCST004627	Nedelec_2016.macrophage_Listeria_ge	17	3	163	immune cell
LC-ebi-a-GCST004627	Nedelec_2016.macrophage_naive_ge	4	2	163	immune cell
LC-ebi-a-GCST004627	Nedelec_2016.macrophage_Salmonella_ge	2	1	167	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_IAV_ge	8	3	198	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_LPS_ge	7	3	184	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_naive_ge	4	2	200	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_Pam3CSK4_ge	8	4	196	immune cell
LC-ebi-a-GCST004627	Quach_2016.monocyte_R848_ge	9	3	191	immune cell
LC-ebi-a-GCST004627	ROSMAP.brain_naive_ge	2	1	576	other
LC-ebi-a-GCST004627	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	22	2	89	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.CD4_T-cell_naive_ge	29	7	88	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	2	2	88	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.CD8_T-cell_naive_ge	6	3	89	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.monocyte_CD16_naive_ge	4	2	90	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.monocyte_naive_ge	1	1	91	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Tfh_memory_ge	20	4	89	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Th1_memory_ge	13	4	82	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Th1-17_memory_ge	16	3	88	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Th17_memory_ge	29	6	89	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Th2_memory_ge	25	5	89	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Treg_memory_ge	11	2	89	immune cell
LC-ebi-a-GCST004627	Schmiedel_2018.Treg_naive_ge	26	7	89	immune cell
LC-ebi-a-GCST004627	TwinsUK.blood_ge	14	4	195	immune cell
LC-ebi-a-GCST004627	TwinsUK.fat_ge	10	5	381	other
LC-ebi-a-GCST004627	TwinsUK.LCL_ge	15	7	418	immune cell
