study_qtl	study	qtl_group	type	condition	condition_label	condition_ontology_term	cell_type	cell_type_ontology_term	cell_type_ontology_label	cell_type_ontology_tissue	SampleSize	eGenes	eExons	eTranscripts	eTxRev
GEUVADIS_LCL	GEUVADIS	LCL	RNA-seq	naive	naive	-	LCL	EFO_0005292	lymphoblastoid cell line	LCL	445	5242	5133	3957	5631
HipSci_iPSC	HipSci	iPSC	RNA-seq	naive	naive	-	iPSC	EFO_0004905	induced pluripotent stem cell	iPSC	322	4137	5218	4368	5979
Kasela_2017_T-cell_CD4	Kasela_2017	T-cell_CD4	microarray	naive	naive	-	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	280	1915	-	-	-
Kasela_2017_T-cell_CD8	Kasela_2017	T-cell_CD8	microarray	naive	naive	-	T-cell	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell	269	1194	-	-	-
Lepik_2017_blood	Lepik_2017	blood	RNA-seq	naive	naive	-	blood	UBERON_0000178	blood	blood	471	7686	5975	3549	4918
Naranbhai_2015_neutrophil_CD16	Naranbhai_2015	neutrophil_CD16	microarray	naive	naive	-	neutrophil	CL_0000775	neutrophil	neutrophil	93	1103	-	-	-
Nedelec_2016_macrophage_Listeria	Nedelec_2016	macrophage_Listeria	RNA-seq	Listeria	Listeria_5h	NCBITaxon_1639	macrophage	CL_0000235	macrophage	macrophage	163	2135	1576	981	1338
Nedelec_2016_macrophage_naive	Nedelec_2016	macrophage_naive	RNA-seq	naive	naive	-	macrophage	CL_0000235	macrophage	macrophage	163	2264	1462	1097	1474
Nedelec_2016_macrophage_Salmonella	Nedelec_2016	macrophage_Salmonella	RNA-seq	Salmonella	Salmonella_5h	NCBITaxon_90371	macrophage	CL_0000235	macrophage	macrophage	167	2163	1507	809	1221
Quach_2016_monocyte_naive	Quach_2016	monocyte_naive	RNA-seq	naive	naive	-	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	200	5098	3490	1995	2912
Quach_2016_monocyte_LPS	Quach_2016	monocyte_LPS	RNA-seq	LPS	LPS_6h	CHEBI_16412	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	184	4551	3120	1622	2405
Quach_2016_monocyte_Pam3CSK4	Quach_2016	monocyte_Pam3CSK4	RNA-seq	Pam3CSK4	Pam3CSK4_6h	CHEBI_46895	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	196	4856	3465	1826	2656
Quach_2016_monocyte_R848	Quach_2016	monocyte_R848	RNA-seq	R848	R848_6h	CHEBI_36706	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	191	4399	2793	1556	2209
Quach_2016_monocyte_IAV	Quach_2016	monocyte_IAV	RNA-seq	IAV	Influenza_6h	NCBITaxon_11320	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	198	4289	2801	1238	1856
ROSMAP_brain_naive	ROSMAP	brain_naive	RNA-seq	naive	naive	-	brain	UBERON_0009834	dorsolateral prefrontal cortex	DLPFC	576	7227	7697	5081	6458
Schmiedel_2018_Tfh_memory	Schmiedel_2018	Tfh_memory	RNA-seq	memory	naive	-	Tfh	CL_0002038	T follicular helper cell	Tfh cell	89	2468	495	450	658
Schmiedel_2018_Th17_memory	Schmiedel_2018	Th17_memory	RNA-seq	memory	naive	-	Th17	CL_0000899	T-helper 17 cell	Th17 cell	89	2879	566	600	746
Schmiedel_2018_Th1_memory	Schmiedel_2018	Th1_memory	RNA-seq	memory	naive	-	Th1	CL_0000545	T-helper 1 cell	Th1 cell	82	2190	417	389	537
Schmiedel_2018_Th2_memory	Schmiedel_2018	Th2_memory	RNA-seq	memory	naive	-	Th2	CL_0000546	T-helper 2 cell	Th2 cell	89	2552	442	469	668
Schmiedel_2018_Th1-17_memory	Schmiedel_2018	Th1-17_memory	RNA-seq	memory	naive	-	Th1-17	CL_0000899	T-helper 17 cell	Th17 cell	88	2645	552	499	683
Schmiedel_2018_Treg_memory	Schmiedel_2018	Treg_memory	RNA-seq	memory	naive	-	Treg	CL_0002678	memory regulatory T cell	Treg naive	89	2324	514	448	622
Schmiedel_2018_Treg_naive	Schmiedel_2018	Treg_naive	RNA-seq	naive	naive	-	Treg	CL_0002677	naive regulatory T cell	Treg memory	89	2432	478	477	617
Schmiedel_2018_B-cell_naive	Schmiedel_2018	B-cell_naive	RNA-seq	naive	naive	-	B-cell	CL_0000236	B cell	B cell	91	2326	406	360	505
Schmiedel_2018_CD4_T-cell_naive	Schmiedel_2018	CD4_T-cell_naive	RNA-seq	naive	naive	-	CD4_T-cell	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	88	2628	509	529	681
Schmiedel_2018_CD4_T-cell_anti-CD3-CD28	Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	RNA-seq	anti-CD3-CD28	anti-CD3-CD28_4h	EFO_0003317; EFO_0003304	CD4_T-cell	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	89	2073	315	340	458
Schmiedel_2018_CD8_T-cell_naive	Schmiedel_2018	CD8_T-cell_naive	RNA-seq	naive	naive	-	CD8_T-cell	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell	89	2750	652	579	769
Schmiedel_2018_CD8_T-cell_anti-CD3-CD28	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	RNA-seq	anti-CD3-CD28	anti-CD3-CD28_4h	EFO_0003317; EFO_0003304	CD8_T-cell	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell	88	2016	349	372	482
Schmiedel_2018_monocyte_CD16_naive	Schmiedel_2018	monocyte_CD16_naive	RNA-seq	naive	naive	-	monocyte_CD16	CL_0002396	CD14-low, CD16-positive monocyte	CD16+ monocyte	90	2380	384	365	520
Schmiedel_2018_monocyte_naive	Schmiedel_2018	monocyte_naive	RNA-seq	naive	naive	-	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	91	2502	408	461	620
Schmiedel_2018_NK-cell_naive	Schmiedel_2018	NK-cell_naive	RNA-seq	naive	naive	-	NK-cell	CL_0000623	natural killer cell	NK cell	90	1886	349	344	422
Schwartzentruber_2018_sensory_neuron	Schwartzentruber_2018	sensory_neuron	RNA-seq	naive	naive	-	sensory_neuron	CL_0000101	sensory neuron	sensory neuron	98	497	921	1112	1471
TwinsUK_fat	TwinsUK	fat	RNA-seq	naive	naive	-	fat	UBERON_0001013	adipose tissue	adipose	381	6733	6110	2817	3931
TwinsUK_LCL	TwinsUK	LCL	RNA-seq	naive	naive	-	LCL	EFO_0005292	lymphoblastoid cell line	LCL	418	7043	5456	3263	4586
TwinsUK_skin	TwinsUK	skin	RNA-seq	naive	naive	-	skin	UBERON_0002097	skin of body	skin	370	5758	5404	2550	3367
TwinsUK_blood	TwinsUK	blood	RNA-seq	naive	naive	-	blood	UBERON_0000178	blood	blood	195	3515	2318	1020	1461
van_de_Bunt_2015_pancreatic_islet	van_de_Bunt_2015	pancreatic_islet	RNA-seq	naive	naive	-	pancreatic_islet	UBERON_0000006	islet of Langerhans	pancreatic islet	117	495	710	636	916
