study	qtl_group	cell_type	condition	sample_size	tissue_ontology_id.x	tissue_ontology_term.x	tissue_ontology_id.y	tissue_ontology_term.y
CommonMind	DLPFC_naive	DLPFC	naive	586	UBERON_0009834	dorsolateral prefrontal cortex	UBERON_0009834	dorsolateral prefrontal cortex
Fairfax_2012	B-cell_CD19	B-cell	naive	281	CL_0000236	B cell	CL_0000236	B cell
Fairfax_2014	monocyte_IFN24	monocyte	IFN24	370	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Fairfax_2014	monocyte_LPS2	monocyte	LPS2	256	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Fairfax_2014	monocyte_LPS24	monocyte	LPS24	325	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Fairfax_2014	monocyte_naive	monocyte	naive	420	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
FUSION	adipose_naive	adipose	naive	271	UBERON_0001013	adipose tissue	UBERON_0001013	adipose tissue
FUSION	muscle_naive	muscle	naive	288	UBERON_0001134	skeletal muscle tissue	UBERON_0001134	skeletal muscle tissue
GENCORD	fibroblast	fibroblast	naive	186	CL_0000057	fibroblast	CL_0000057	fibroblast
GENCORD	LCL	LCL	naive	190	EFO_0005292	lymphoblastoid cell line	EFO_0005292	lymphoblastoid cell line
GENCORD	T-cell	T-cell	naive	184	CL_0000084	T cell	CL_0000084	T cell
GEUVADIS	LCL	LCL	naive	445	EFO_0005292	lymphoblastoid cell line	EFO_0005292	lymphoblastoid cell line
Gilchrist_2021	NK-cell_naive	NK-cell	naive	247	CL_0000623	natural killer cell	CL_0000623	natural killer cell
GTEx	adipose_subcutaneous	adipose_subcutaneous	naive	581	UBERON_0001013	adipose tissue	UBERON_0001013	adipose tissue
GTEx	adipose_visceral	adipose_visceral	naive	469	UBERON_0010414	omental fat pad	UBERON_0010414	omental fat pad
GTEx	adrenal_gland	adrenal_gland	naive	233	UBERON_0002369	adrenal gland	UBERON_0002369	adrenal gland
GTEx	artery_aorta	artery_aorta	naive	387	UBERON_0001496	ascending aorta	UBERON_0001496	ascending aorta
GTEx	artery_coronary	artery_coronary	naive	213	UBERON_0001621	coronary artery	UBERON_0001621	coronary artery
GTEx	artery_tibial	artery_tibial	naive	584	UBERON_0007610	tibial artery	UBERON_0007610	tibial artery
GTEx	blood	blood	naive	670	UBERON_0000178	blood	UBERON_0000178	blood
GTEx	brain_amygdala	brain_amygdala	naive	129	UBERON_0001876	amygdala	UBERON_0001876	amygdala
GTEx	brain_anterior_cingulate_cortex	brain_anterior_cingulate_cortex	naive	147	UBERON_0009835	anterior cingulate cortex	UBERON_0009835	anterior cingulate cortex
GTEx	brain_caudate	brain_caudate	naive	194	UBERON_0001873	caudate nucleus	UBERON_0001873	caudate nucleus
GTEx	brain_cerebellar_hemisphere	brain_cerebellar_hemisphere	naive	175	UBERON_0002037	cerebellum	UBERON_0002037	cerebellum
GTEx	brain_cerebellum	brain_cerebellum	naive	209	UBERON_0002037	cerebellum	UBERON_0002037	cerebellum
GTEx	brain_cortex	brain_cortex	naive	205	UBERON_0001870	frontal cortex	UBERON_0001870	frontal cortex
GTEx	brain_frontal_cortex	brain_frontal_cortex	naive	175	UBERON_0009834	dorsolateral prefrontal cortex	UBERON_0009834	dorsolateral prefrontal cortex
GTEx	brain_hippocampus	brain_hippocampus	naive	165	UBERON_0001954	Ammon's horn	UBERON_0001954	Ammon's horn
GTEx	brain_hypothalamus	brain_hypothalamus	naive	170	UBERON_0001898	hypothalamus	UBERON_0001898	hypothalamus
GTEx	brain_nucleus_accumbens	brain_nucleus_accumbens	naive	202	UBERON_0001882	nucleus accumbens	UBERON_0001882	nucleus accumbens
GTEx	brain_putamen	brain_putamen	naive	170	UBERON_0001874	putamen	UBERON_0001874	putamen
GTEx	brain_spinal_cord	brain_spinal_cord	naive	126	UBERON_0006469	C1 segment of cervical spinal cord	UBERON_0006469	C1 segment of cervical spinal cord
GTEx	brain_substantia_nigra	brain_substantia_nigra	naive	114	UBERON_0002038	substantia nigra	UBERON_0002038	substantia nigra
GTEx	breast	breast	naive	394	UBERON_0008367	breast epithelium	UBERON_0008367	breast epithelium
GTEx	colon_sigmoid	colon_sigmoid	naive	318	UBERON_0001159	sigmoid colon	UBERON_0001159	sigmoid colon
GTEx	colon_transverse	colon_transverse	naive	368	UBERON_0001157	transverse colon	UBERON_0001157	transverse colon
GTEx	esophagus_gej	esophagus_gej	naive	330	UBERON_0004550	gastroesophageal sphincter	UBERON_0004550	gastroesophageal sphincter
GTEx	esophagus_mucosa	esophagus_mucosa	naive	493	UBERON_0006920	esophagus squamous epithelium	UBERON_0006920	esophagus squamous epithelium
GTEx	esophagus_muscularis	esophagus_muscularis	naive	461	UBERON_0004648	esophagus muscularis mucosa	UBERON_0004648	esophagus muscularis mucosa
GTEx	fibroblast	fibroblast	naive	483	CL_0000057	fibroblast	CL_0000057	fibroblast
GTEx	heart_atrial_appendage	heart_atrial_appendage	naive	372	UBERON_0006631	right atrium auricular region	UBERON_0006631	right atrium auricular region
GTEx	heart_left_ventricle	heart_left_ventricle	naive	382	UBERON_0006566	left ventricle myocardium	UBERON_0006566	left ventricle myocardium
GTEx	kidney_cortex	kidney_cortex	naive	73	UBERON_0001225	cortex of kidney	UBERON_0001225	cortex of kidney
GTEx	LCL	LCL	naive	147	EFO_0005292	lymphoblastoid cell line	EFO_0005292	lymphoblastoid cell line
GTEx	liver	liver	naive	208	UBERON_0001114	right lobe of liver	UBERON_0001114	right lobe of liver
GTEx	lung	lung	naive	510	UBERON_0008952	upper lobe of left lung	UBERON_0008952	upper lobe of left lung
GTEx	minor_salivary_gland	minor_salivary_gland	naive	144	UBERON_0006330	anterior lingual gland	UBERON_0006330	anterior lingual gland
GTEx	muscle	muscle	naive	702	UBERON_0001134	skeletal muscle tissue	UBERON_0001134	skeletal muscle tissue
GTEx	nerve_tibial	nerve_tibial	naive	532	UBERON_0001323	tibial nerve	UBERON_0001323	tibial nerve
GTEx	ovary	ovary	naive	167	UBERON_0000992	female gonad	UBERON_0000992	female gonad
GTEx	pancreas	pancreas	naive	305	UBERON_0001150	body of pancreas	UBERON_0001150	body of pancreas
GTEx	pituitary	pituitary	naive	237	UBERON_0000007	pituitary gland	UBERON_0000007	pituitary gland
GTEx	prostate	prostate	naive	218	UBERON_0002367	prostate gland	UBERON_0002367	prostate gland
GTEx	skin_not_sun_exposed	skin_not_sun_exposed	naive	517	UBERON_0036149	suprapubic skin	UBERON_0036149	suprapubic skin
GTEx	skin_sun_exposed	skin_sun_exposed	naive	602	UBERON_0002097	skin of body	UBERON_0002097	skin of body
GTEx	small_intestine	small_intestine	naive	174	UBERON_0001211	Peyer's patch	UBERON_0001211	Peyer's patch
GTEx	spleen	spleen	naive	227	UBERON_0002106	spleen	UBERON_0002106	spleen
GTEx	stomach	stomach	naive	324	UBERON_0000945	stomach	UBERON_0000945	stomach
GTEx	testis	testis	naive	322	UBERON_0000473	testis	UBERON_0000473	testis
GTEx	thyroid	thyroid	naive	574	UBERON_0002046	thyroid gland	UBERON_0002046	thyroid gland
GTEx	uterus	uterus	naive	129	UBERON_0000995	uterus	UBERON_0000995	uterus
GTEx	vagina	vagina	naive	141	UBERON_0000996	vagina	UBERON_0000996	vagina
HipSci	iPSC	iPSC	naive	322	EFO_0004905	induced pluripotent stem cell	EFO_0004905	induced pluripotent stem cell
iPSCORE	iPSC	iPSC	naive	101	EFO_0004905	induced pluripotent stem cell	EFO_0004905	induced pluripotent stem cell
Kasela_2017	T-cell_CD4	T-cell	naive	280	CL_0000624	CD4-positive, alpha-beta T cell	CL_0000624	CD4-positive, alpha-beta T cell
Kasela_2017	T-cell_CD8	T-cell	naive	269	CL_0000625	CD8-positive, alpha-beta T cell	CL_0000625	CD8-positive, alpha-beta T cell
Lepik_2017	blood	blood	naive	471	UBERON_0000178	blood	UBERON_0000178	blood
Naranbhai_2015	neutrophil_CD16	neutrophil	naive	93	CL_0000775	neutrophil	CL_0000775	neutrophil
Nedelec_2016	macrophage_Listeria	macrophage	Listeria	163	CL_0000235	macrophage	CL_0000235	macrophage
Nedelec_2016	macrophage_naive	macrophage	naive	163	CL_0000235	macrophage	CL_0000235	macrophage
Nedelec_2016	macrophage_Salmonella	macrophage	Salmonella	167	CL_0000235	macrophage	CL_0000235	macrophage
Peng_2018	placenta_naive	placenta	naive	149	UBERON_0001987	placenta	UBERON_0001987	placenta
PhLiPS	HLC	HLC	naive	79	CL_0000182	hepatocyte	CL_0000182	hepatocyte
PhLiPS	iPSC	iPSC	naive	83	EFO_0004905	induced pluripotent stem cell	EFO_0004905	induced pluripotent stem cell
Quach_2016	monocyte_IAV	monocyte	IAV	198	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Quach_2016	monocyte_LPS	monocyte	LPS	184	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Quach_2016	monocyte_naive	monocyte	naive	200	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Quach_2016	monocyte_Pam3CSK4	monocyte	Pam3CSK4	196	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Quach_2016	monocyte_R848	monocyte	R848	191	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
ROSMAP	brain_naive	brain	naive	560	UBERON_0009834	dorsolateral prefrontal cortex	UBERON_0009834	dorsolateral prefrontal cortex
Schmiedel_2018	B-cell_naive	B-cell	naive	91	CL_0000236	B cell	CL_0000236	B cell
Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	CD4_T-cell	anti-CD3-CD28	89	CL_0000624	CD4-positive, alpha-beta T cell	CL_0000624	CD4-positive, alpha-beta T cell
Schmiedel_2018	CD4_T-cell_naive	CD4_T-cell	naive	88	CL_0000624	CD4-positive, alpha-beta T cell	CL_0000624	CD4-positive, alpha-beta T cell
Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	CD8_T-cell	anti-CD3-CD28	88	CL_0000625	CD8-positive, alpha-beta T cell	CL_0000625	CD8-positive, alpha-beta T cell
Schmiedel_2018	CD8_T-cell_naive	CD8_T-cell	naive	89	CL_0000625	CD8-positive, alpha-beta T cell	CL_0000625	CD8-positive, alpha-beta T cell
Schmiedel_2018	monocyte_CD16_naive	monocyte_CD16	naive	90	CL_0002396	CD14-low, CD16-positive monocyte	CL_0002396	CD14-low, CD16-positive monocyte
Schmiedel_2018	monocyte_naive	monocyte	naive	91	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
Schmiedel_2018	NK-cell_naive	NK-cell	naive	90	CL_0000623	natural killer cell	CL_0000623	natural killer cell
Schmiedel_2018	Tfh_memory	Tfh	memory	89	CL_0002038	T follicular helper cell	CL_0002038	T follicular helper cell
Schmiedel_2018	Th1_memory	Th1	memory	82	CL_0000545	T-helper 1 cell	CL_0000545	T-helper 1 cell
Schmiedel_2018	Th1-17_memory	Th1-17	memory	88	CL_0000899	T-helper 17 cell	CL_0000899	T-helper 17 cell
Schmiedel_2018	Th17_memory	Th17	memory	89	CL_0000899	T-helper 17 cell	CL_0000899	T-helper 17 cell
Schmiedel_2018	Th2_memory	Th2	memory	89	CL_0000546	T-helper 2 cell	CL_0000546	T-helper 2 cell
Schmiedel_2018	Treg_memory	Treg	memory	89	CL_0002678	memory regulatory T cell	CL_0002678	memory regulatory T cell
Schmiedel_2018	Treg_naive	Treg	naive	89	CL_0002677	naive regulatory T cell	CL_0002677	naive regulatory T cell
Schwartzentruber_2018	sensory_neuron	sensory_neuron	naive	98	CL_0000101	sensory neuron	CL_0000101	sensory neuron
Steinberg_2020	high_grade_cartilage_naive	high_grade_cartilage	naive	69	UBERON_0002418	cartilage tissue	UBERON_0002418	cartilage tissue
Steinberg_2020	low_grade_cartilage_naive	low_grade_cartilage	naive	69	UBERON_0002418	cartilage tissue	UBERON_0002418	cartilage tissue
Steinberg_2020	synovium_naive	synovium	naive	72	UBERON_0007616	layer of synovial tissue	UBERON_0007616	layer of synovial tissue
TwinsUK	blood	blood	naive	195	UBERON_0000178	blood	UBERON_0000178	blood
TwinsUK	fat	fat	naive	381	UBERON_0001013	adipose tissue	UBERON_0001013	adipose tissue
TwinsUK	LCL	LCL	naive	418	EFO_0005292	lymphoblastoid cell line	EFO_0005292	lymphoblastoid cell line
TwinsUK	skin	skin	naive	370	UBERON_0002097	skin of body	UBERON_0002097	skin of body
van_de_Bunt_2015	pancreatic_islet	pancreatic_islet	naive	117	UBERON_0000006	islet of Langerhans	UBERON_0000006	islet of Langerhans
Young_2019	microglia_naive	microglia	naive	104	CL_0000129	microglial cell	CL_0000129	microglial cell
