study	qtl_group	tissue_ontology_id	tissue_ontology_term	tissue_label	condition_label	quant_method	ftp_path
GTEx_V8	Minor_Salivary_Gland	UBER_0006330	anterior lingual gland	Minor Salivary Gland	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Minor_Salivary_Gland.tsv.gz
GTEx_V8	Muscle_Skeletal	UBER_0011907	gastrocnemius medialis	Muscle - Skeletal	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Muscle_Skeletal.tsv.gz
GTEx_V8	Nerve_Tibial	UBER_0001323	tibial nerve	Nerve - Tibial	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Nerve_Tibial.tsv.gz
GTEx_V8	Ovary	UBER_0000992	female gonad	Ovary	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Ovary.tsv.gz
GTEx_V8	Pancreas	UBER_0001150	body of pancreas	Pancreas	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Pancreas.tsv.gz
GTEx_V8	Pituitary	UBER_0000007	pituitary gland	Pituitary	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Pituitary.tsv.gz
GTEx_V8	Prostate	UBER_0002367	prostate gland	Prostate	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Prostate.tsv.gz
GTEx_V8	Skin_Not_Sun_Exposed_Suprapubic	UBER_0036149	suprapubic skin	Skin - Not Sun Exposed (Suprapubic)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Skin_Not_Sun_Exposed_Suprapubic.tsv.gz
GTEx_V8	Skin_Sun_Exposed_Lower_leg	UBER_0004264	lower leg skin	Skin - Sun Exposed (Lower leg)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Skin_Sun_Exposed_Lower_leg.tsv.gz
GTEx_V8	Small_Intestine_Terminal_Ileum	UBER_0001211	Peyer's patch	Small Intestine - Terminal Ileum	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Small_Intestine_Terminal_Ileum.tsv.gz
GTEx_V8	Spleen	UBER_0002106	spleen	Spleen	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Spleen.tsv.gz
GTEx_V8	Stomach	UBER_0000945	stomach	Stomach	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Stomach.tsv.gz
GTEx_V8	Testis	UBER_0000473	testis	Testis	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Testis.tsv.gz
GTEx_V8	Thyroid	UBER_0002046	thyroid gland	Thyroid	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Thyroid.tsv.gz
GTEx_V8	Uterus	UBER_0000995	uterus	Uterus	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Uterus.tsv.gz
GTEx_V8	Vagina	UBER_0000996	vagina	Vagina	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Vagina.tsv.gz
GTEx_V8	Whole_Blood	UBER_0013756	venous blood	Whole Blood	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Whole_Blood.tsv.gz
