study_id	dataset_id	study_label	sample_group	tissue_id	tissue_label	condition_label	sample_size	quant_method	pmid	study_type
QTS000015	QTD000163	GTEx	brain_cerebellar_hemisphere	UBERON_0002037	brain (cerebellum)	naive	286	tx	32913098	bulk
QTS000015	QTD000164	GTEx	brain_cerebellar_hemisphere	UBERON_0002037	brain (cerebellum)	naive	286	txrev	32913098	bulk
QTS000015	QTD000165	GTEx	brain_cerebellar_hemisphere	UBERON_0002037	brain (cerebellum)	naive	286	leafcutter	32913098	bulk
QTS000015	QTD000166	GTEx	brain_cerebellum	UBERON_0002037	brain (cerebellum)	naive	272	ge	32913098	bulk
QTS000015	QTD000167	GTEx	brain_cerebellum	UBERON_0002037	brain (cerebellum)	naive	272	exon	32913098	bulk
QTS000015	QTD000168	GTEx	brain_cerebellum	UBERON_0002037	brain (cerebellum)	naive	272	tx	32913098	bulk
QTS000015	QTD000169	GTEx	brain_cerebellum	UBERON_0002037	brain (cerebellum)	naive	272	txrev	32913098	bulk
QTS000015	QTD000170	GTEx	brain_cerebellum	UBERON_0002037	brain (cerebellum)	naive	272	leafcutter	32913098	bulk
QTS000015	QTD000171	GTEx	brain_cortex	UBERON_0001870	brain (cortex)	naive	284	ge	32913098	bulk
QTS000015	QTD000172	GTEx	brain_cortex	UBERON_0001870	brain (cortex)	naive	284	exon	32913098	bulk
QTS000015	QTD000173	GTEx	brain_cortex	UBERON_0001870	brain (cortex)	naive	284	tx	32913098	bulk
QTS000015	QTD000174	GTEx	brain_cortex	UBERON_0001870	brain (cortex)	naive	284	txrev	32913098	bulk
QTS000015	QTD000175	GTEx	brain_cortex	UBERON_0001870	brain (cortex)	naive	284	leafcutter	32913098	bulk
QTS000015	QTD000176	GTEx	brain_frontal_cortex	UBERON_0009834	brain (DLPFC)	naive	285	ge	32913098	bulk
QTS000015	QTD000177	GTEx	brain_frontal_cortex	UBERON_0009834	brain (DLPFC)	naive	285	exon	32913098	bulk
QTS000015	QTD000178	GTEx	brain_frontal_cortex	UBERON_0009834	brain (DLPFC)	naive	285	tx	32913098	bulk
QTS000015	QTD000179	GTEx	brain_frontal_cortex	UBERON_0009834	brain (DLPFC)	naive	285	txrev	32913098	bulk
QTS000015	QTD000180	GTEx	brain_frontal_cortex	UBERON_0009834	brain (DLPFC)	naive	285	leafcutter	32913098	bulk
QTS000015	QTD000181	GTEx	brain_hippocampus	UBERON_0001954	brain (hippocampus)	naive	272	ge	32913098	bulk
QTS000015	QTD000182	GTEx	brain_hippocampus	UBERON_0001954	brain (hippocampus)	naive	272	exon	32913098	bulk
QTS000015	QTD000183	GTEx	brain_hippocampus	UBERON_0001954	brain (hippocampus)	naive	272	tx	32913098	bulk
QTS000015	QTD000184	GTEx	brain_hippocampus	UBERON_0001954	brain (hippocampus)	naive	272	txrev	32913098	bulk
QTS000015	QTD000185	GTEx	brain_hippocampus	UBERON_0001954	brain (hippocampus)	naive	272	leafcutter	32913098	bulk
QTS000015	QTD000186	GTEx	brain_hypothalamus	UBERON_0001898	brain (hypothalamus)	naive	276	ge	32913098	bulk
QTS000015	QTD000187	GTEx	brain_hypothalamus	UBERON_0001898	brain (hypothalamus)	naive	276	exon	32913098	bulk
QTS000015	QTD000188	GTEx	brain_hypothalamus	UBERON_0001898	brain (hypothalamus)	naive	276	tx	32913098	bulk
QTS000015	QTD000189	GTEx	brain_hypothalamus	UBERON_0001898	brain (hypothalamus)	naive	276	txrev	32913098	bulk
QTS000015	QTD000190	GTEx	brain_hypothalamus	UBERON_0001898	brain (hypothalamus)	naive	276	leafcutter	32913098	bulk
QTS000015	QTD000191	GTEx	brain_nucleus_accumbens	UBERON_0001882	brain (nucleus accumbens)	naive	308	ge	32913098	bulk
QTS000015	QTD000192	GTEx	brain_nucleus_accumbens	UBERON_0001882	brain (nucleus accumbens)	naive	308	exon	32913098	bulk
QTS000015	QTD000193	GTEx	brain_nucleus_accumbens	UBERON_0001882	brain (nucleus accumbens)	naive	308	tx	32913098	bulk
QTS000015	QTD000194	GTEx	brain_nucleus_accumbens	UBERON_0001882	brain (nucleus accumbens)	naive	308	txrev	32913098	bulk
QTS000015	QTD000195	GTEx	brain_nucleus_accumbens	UBERON_0001882	brain (nucleus accumbens)	naive	308	leafcutter	32913098	bulk
QTS000015	QTD000196	GTEx	brain_putamen	UBERON_0001874	brain (putamen)	naive	267	ge	32913098	bulk
QTS000015	QTD000197	GTEx	brain_putamen	UBERON_0001874	brain (putamen)	naive	267	exon	32913098	bulk
QTS000015	QTD000198	GTEx	brain_putamen	UBERON_0001874	brain (putamen)	naive	267	tx	32913098	bulk
QTS000015	QTD000199	GTEx	brain_putamen	UBERON_0001874	brain (putamen)	naive	267	txrev	32913098	bulk
QTS000015	QTD000200	GTEx	brain_putamen	UBERON_0001874	brain (putamen)	naive	267	leafcutter	32913098	bulk
QTS000015	QTD000201	GTEx	brain_spinal_cord	UBERON_0006469	brain (spinal cord)	naive	213	ge	32913098	bulk
QTS000015	QTD000202	GTEx	brain_spinal_cord	UBERON_0006469	brain (spinal cord)	naive	213	exon	32913098	bulk
QTS000015	QTD000203	GTEx	brain_spinal_cord	UBERON_0006469	brain (spinal cord)	naive	213	tx	32913098	bulk
QTS000015	QTD000204	GTEx	brain_spinal_cord	UBERON_0006469	brain (spinal cord)	naive	213	txrev	32913098	bulk
QTS000015	QTD000205	GTEx	brain_spinal_cord	UBERON_0006469	brain (spinal cord)	naive	213	leafcutter	32913098	bulk
QTS000015	QTD000206	GTEx	brain_substantia_nigra	UBERON_0002038	brain (substantia nigra)	naive	193	ge	32913098	bulk
QTS000015	QTD000207	GTEx	brain_substantia_nigra	UBERON_0002038	brain (substantia nigra)	naive	193	exon	32913098	bulk
QTS000015	QTD000208	GTEx	brain_substantia_nigra	UBERON_0002038	brain (substantia nigra)	naive	193	tx	32913098	bulk
QTS000015	QTD000209	GTEx	brain_substantia_nigra	UBERON_0002038	brain (substantia nigra)	naive	193	txrev	32913098	bulk
QTS000015	QTD000210	GTEx	brain_substantia_nigra	UBERON_0002038	brain (substantia nigra)	naive	193	leafcutter	32913098	bulk
QTS000015	QTD000211	GTEx	breast	UBERON_0008367	breast	naive	530	ge	32913098	bulk
QTS000015	QTD000212	GTEx	breast	UBERON_0008367	breast	naive	530	exon	32913098	bulk
QTS000015	QTD000213	GTEx	breast	UBERON_0008367	breast	naive	530	tx	32913098	bulk
QTS000015	QTD000214	GTEx	breast	UBERON_0008367	breast	naive	530	txrev	32913098	bulk
QTS000015	QTD000215	GTEx	breast	UBERON_0008367	breast	naive	530	leafcutter	32913098	bulk
QTS000015	QTD000216	GTEx	fibroblast	CL_0000057	fibroblast	naive	659	ge	32913098	bulk
QTS000015	QTD000217	GTEx	fibroblast	CL_0000057	fibroblast	naive	659	exon	32913098	bulk
QTS000015	QTD000218	GTEx	fibroblast	CL_0000057	fibroblast	naive	659	tx	32913098	bulk
QTS000015	QTD000219	GTEx	fibroblast	CL_0000057	fibroblast	naive	659	txrev	32913098	bulk
QTS000015	QTD000220	GTEx	fibroblast	CL_0000057	fibroblast	naive	659	leafcutter	32913098	bulk
QTS000015	QTD000221	GTEx	LCL	EFO_0005292	LCL	naive	329	ge	32913098	bulk
QTS000015	QTD000222	GTEx	LCL	EFO_0005292	LCL	naive	329	exon	32913098	bulk
QTS000015	QTD000223	GTEx	LCL	EFO_0005292	LCL	naive	329	tx	32913098	bulk
QTS000015	QTD000224	GTEx	LCL	EFO_0005292	LCL	naive	329	txrev	32913098	bulk
QTS000015	QTD000225	GTEx	LCL	EFO_0005292	LCL	naive	329	leafcutter	32913098	bulk
QTS000015	QTD000226	GTEx	colon_sigmoid	UBERON_0001159	sigmoid colon	naive	430	ge	32913098	bulk
QTS000015	QTD000227	GTEx	colon_sigmoid	UBERON_0001159	sigmoid colon	naive	430	exon	32913098	bulk
QTS000015	QTD000228	GTEx	colon_sigmoid	UBERON_0001159	sigmoid colon	naive	430	tx	32913098	bulk
QTS000015	QTD000229	GTEx	colon_sigmoid	UBERON_0001159	sigmoid colon	naive	430	txrev	32913098	bulk
QTS000015	QTD000230	GTEx	colon_sigmoid	UBERON_0001159	sigmoid colon	naive	430	leafcutter	32913098	bulk
QTS000015	QTD000231	GTEx	colon_transverse	UBERON_0001157	transverse colon	naive	497	ge	32913098	bulk
QTS000015	QTD000232	GTEx	colon_transverse	UBERON_0001157	transverse colon	naive	497	exon	32913098	bulk
QTS000015	QTD000233	GTEx	colon_transverse	UBERON_0001157	transverse colon	naive	497	tx	32913098	bulk
QTS000015	QTD000234	GTEx	colon_transverse	UBERON_0001157	transverse colon	naive	497	txrev	32913098	bulk
QTS000015	QTD000235	GTEx	colon_transverse	UBERON_0001157	transverse colon	naive	497	leafcutter	32913098	bulk
QTS000015	QTD000236	GTEx	esophagus_gej	UBERON_0004550	esophagus (gej)	naive	419	ge	32913098	bulk
QTS000015	QTD000237	GTEx	esophagus_gej	UBERON_0004550	esophagus (gej)	naive	419	exon	32913098	bulk
QTS000015	QTD000238	GTEx	esophagus_gej	UBERON_0004550	esophagus (gej)	naive	419	tx	32913098	bulk
QTS000015	QTD000239	GTEx	esophagus_gej	UBERON_0004550	esophagus (gej)	naive	419	txrev	32913098	bulk
QTS000015	QTD000240	GTEx	esophagus_gej	UBERON_0004550	esophagus (gej)	naive	419	leafcutter	32913098	bulk
QTS000015	QTD000241	GTEx	esophagus_mucosa	UBERON_0006920	esophagus (mucosa)	naive	634	ge	32913098	bulk
QTS000015	QTD000242	GTEx	esophagus_mucosa	UBERON_0006920	esophagus (mucosa)	naive	634	exon	32913098	bulk
QTS000015	QTD000243	GTEx	esophagus_mucosa	UBERON_0006920	esophagus (mucosa)	naive	634	tx	32913098	bulk
QTS000015	QTD000244	GTEx	esophagus_mucosa	UBERON_0006920	esophagus (mucosa)	naive	634	txrev	32913098	bulk
QTS000015	QTD000245	GTEx	esophagus_mucosa	UBERON_0006920	esophagus (mucosa)	naive	634	leafcutter	32913098	bulk
QTS000015	QTD000246	GTEx	esophagus_muscularis	UBERON_0004648	esophagus (muscularis)	naive	590	ge	32913098	bulk
QTS000015	QTD000247	GTEx	esophagus_muscularis	UBERON_0004648	esophagus (muscularis)	naive	590	exon	32913098	bulk
QTS000015	QTD000248	GTEx	esophagus_muscularis	UBERON_0004648	esophagus (muscularis)	naive	590	tx	32913098	bulk
QTS000015	QTD000249	GTEx	esophagus_muscularis	UBERON_0004648	esophagus (muscularis)	naive	590	txrev	32913098	bulk
QTS000015	QTD000250	GTEx	esophagus_muscularis	UBERON_0004648	esophagus (muscularis)	naive	590	leafcutter	32913098	bulk
QTS000015	QTD000251	GTEx	heart_atrial_appendage	UBERON_0006631	heart (atrial appendage)	naive	473	ge	32913098	bulk
QTS000015	QTD000252	GTEx	heart_atrial_appendage	UBERON_0006631	heart (atrial appendage)	naive	473	exon	32913098	bulk
QTS000015	QTD000253	GTEx	heart_atrial_appendage	UBERON_0006631	heart (atrial appendage)	naive	473	tx	32913098	bulk
QTS000015	QTD000254	GTEx	heart_atrial_appendage	UBERON_0006631	heart (atrial appendage)	naive	473	txrev	32913098	bulk
QTS000015	QTD000255	GTEx	heart_atrial_appendage	UBERON_0006631	heart (atrial appendage)	naive	473	leafcutter	32913098	bulk
QTS000015	QTD000256	GTEx	heart_left_ventricle	UBERON_0006566	heart (left ventricle)	naive	481	ge	32913098	bulk
QTS000015	QTD000257	GTEx	heart_left_ventricle	UBERON_0006566	heart (left ventricle)	naive	481	exon	32913098	bulk
QTS000015	QTD000258	GTEx	heart_left_ventricle	UBERON_0006566	heart (left ventricle)	naive	481	tx	32913098	bulk
QTS000015	QTD000259	GTEx	heart_left_ventricle	UBERON_0006566	heart (left ventricle)	naive	481	txrev	32913098	bulk
QTS000015	QTD000260	GTEx	heart_left_ventricle	UBERON_0006566	heart (left ventricle)	naive	481	leafcutter	32913098	bulk
QTS000015	QTD000261	GTEx	kidney_cortex	UBERON_0001225	kidney (cortex)	naive	106	ge	32913098	bulk
QTS000015	QTD000262	GTEx	kidney_cortex	UBERON_0001225	kidney (cortex)	naive	106	exon	32913098	bulk
QTS000015	QTD000263	GTEx	kidney_cortex	UBERON_0001225	kidney (cortex)	naive	106	tx	32913098	bulk
QTS000015	QTD000264	GTEx	kidney_cortex	UBERON_0001225	kidney (cortex)	naive	106	txrev	32913098	bulk
QTS000015	QTD000265	GTEx	kidney_cortex	UBERON_0001225	kidney (cortex)	naive	106	leafcutter	32913098	bulk
QTS000015	QTD000266	GTEx	liver	UBERON_0001114	liver	naive	269	ge	32913098	bulk
QTS000015	QTD000267	GTEx	liver	UBERON_0001114	liver	naive	269	exon	32913098	bulk
QTS000015	QTD000268	GTEx	liver	UBERON_0001114	liver	naive	269	tx	32913098	bulk
QTS000015	QTD000269	GTEx	liver	UBERON_0001114	liver	naive	269	txrev	32913098	bulk
QTS000015	QTD000270	GTEx	liver	UBERON_0001114	liver	naive	269	leafcutter	32913098	bulk
QTS000015	QTD000271	GTEx	lung	UBERON_0008952	lung	naive	652	ge	32913098	bulk
QTS000015	QTD000272	GTEx	lung	UBERON_0008952	lung	naive	652	exon	32913098	bulk
QTS000015	QTD000273	GTEx	lung	UBERON_0008952	lung	naive	652	tx	32913098	bulk
QTS000015	QTD000274	GTEx	lung	UBERON_0008952	lung	naive	652	txrev	32913098	bulk
QTS000015	QTD000275	GTEx	lung	UBERON_0008952	lung	naive	652	leafcutter	32913098	bulk
QTS000015	QTD000276	GTEx	minor_salivary_gland	UBERON_0006330	minor salivary gland	naive	185	ge	32913098	bulk
QTS000015	QTD000277	GTEx	minor_salivary_gland	UBERON_0006330	minor salivary gland	naive	185	exon	32913098	bulk
QTS000015	QTD000278	GTEx	minor_salivary_gland	UBERON_0006330	minor salivary gland	naive	185	tx	32913098	bulk
QTS000015	QTD000279	GTEx	minor_salivary_gland	UBERON_0006330	minor salivary gland	naive	185	txrev	32913098	bulk
QTS000015	QTD000280	GTEx	minor_salivary_gland	UBERON_0006330	minor salivary gland	naive	185	leafcutter	32913098	bulk
QTS000015	QTD000281	GTEx	muscle	UBERON_0001134	muscle	naive	871	ge	32913098	bulk
QTS000015	QTD000282	GTEx	muscle	UBERON_0001134	muscle	naive	871	exon	32913098	bulk
QTS000015	QTD000283	GTEx	muscle	UBERON_0001134	muscle	naive	871	tx	32913098	bulk
QTS000015	QTD000284	GTEx	muscle	UBERON_0001134	muscle	naive	871	txrev	32913098	bulk
QTS000015	QTD000285	GTEx	muscle	UBERON_0001134	muscle	naive	871	leafcutter	32913098	bulk
QTS000015	QTD000286	GTEx	nerve_tibial	UBERON_0001323	tibial nerve	naive	708	ge	32913098	bulk
QTS000015	QTD000287	GTEx	nerve_tibial	UBERON_0001323	tibial nerve	naive	708	exon	32913098	bulk
QTS000015	QTD000288	GTEx	nerve_tibial	UBERON_0001323	tibial nerve	naive	708	tx	32913098	bulk
QTS000015	QTD000289	GTEx	nerve_tibial	UBERON_0001323	tibial nerve	naive	708	txrev	32913098	bulk
QTS000015	QTD000290	GTEx	nerve_tibial	UBERON_0001323	tibial nerve	naive	708	leafcutter	32913098	bulk
QTS000015	QTD000291	GTEx	ovary	UBERON_0000992	ovary	naive	201	ge	32913098	bulk
QTS000015	QTD000292	GTEx	ovary	UBERON_0000992	ovary	naive	201	exon	32913098	bulk
QTS000015	QTD000293	GTEx	ovary	UBERON_0000992	ovary	naive	201	tx	32913098	bulk
QTS000015	QTD000294	GTEx	ovary	UBERON_0000992	ovary	naive	201	txrev	32913098	bulk
QTS000015	QTD000295	GTEx	ovary	UBERON_0000992	ovary	naive	201	leafcutter	32913098	bulk
QTS000015	QTD000296	GTEx	pancreas	UBERON_0001150	pancreas	naive	376	ge	32913098	bulk
QTS000015	QTD000297	GTEx	pancreas	UBERON_0001150	pancreas	naive	376	exon	32913098	bulk
QTS000015	QTD000298	GTEx	pancreas	UBERON_0001150	pancreas	naive	376	tx	32913098	bulk
QTS000015	QTD000299	GTEx	pancreas	UBERON_0001150	pancreas	naive	376	txrev	32913098	bulk
QTS000015	QTD000300	GTEx	pancreas	UBERON_0001150	pancreas	naive	376	leafcutter	32913098	bulk
QTS000015	QTD000301	GTEx	pituitary	UBERON_0000007	pituitary	naive	324	ge	32913098	bulk
QTS000015	QTD000302	GTEx	pituitary	UBERON_0000007	pituitary	naive	324	exon	32913098	bulk
QTS000015	QTD000303	GTEx	pituitary	UBERON_0000007	pituitary	naive	324	tx	32913098	bulk
QTS000015	QTD000304	GTEx	pituitary	UBERON_0000007	pituitary	naive	324	txrev	32913098	bulk
QTS000015	QTD000305	GTEx	pituitary	UBERON_0000007	pituitary	naive	324	leafcutter	32913098	bulk
QTS000015	QTD000306	GTEx	prostate	UBERON_0002367	prostate	naive	294	ge	32913098	bulk
QTS000015	QTD000307	GTEx	prostate	UBERON_0002367	prostate	naive	294	exon	32913098	bulk
QTS000015	QTD000308	GTEx	prostate	UBERON_0002367	prostate	naive	294	tx	32913098	bulk
QTS000015	QTD000309	GTEx	prostate	UBERON_0002367	prostate	naive	294	txrev	32913098	bulk
QTS000015	QTD000310	GTEx	prostate	UBERON_0002367	prostate	naive	294	leafcutter	32913098	bulk
QTS000015	QTD000311	GTEx	skin_not_sun_exposed	UBERON_0036149	skin (suprapubic)	naive	668	ge	32913098	bulk
QTS000015	QTD000312	GTEx	skin_not_sun_exposed	UBERON_0036149	skin (suprapubic)	naive	668	exon	32913098	bulk
QTS000015	QTD000313	GTEx	skin_not_sun_exposed	UBERON_0036149	skin (suprapubic)	naive	668	tx	32913098	bulk
QTS000015	QTD000314	GTEx	skin_not_sun_exposed	UBERON_0036149	skin (suprapubic)	naive	668	txrev	32913098	bulk
QTS000015	QTD000315	GTEx	skin_not_sun_exposed	UBERON_0036149	skin (suprapubic)	naive	668	leafcutter	32913098	bulk
QTS000015	QTD000316	GTEx	skin_sun_exposed	UBERON_0002097	skin	naive	802	ge	32913098	bulk
QTS000015	QTD000317	GTEx	skin_sun_exposed	UBERON_0002097	skin	naive	802	exon	32913098	bulk
QTS000015	QTD000318	GTEx	skin_sun_exposed	UBERON_0002097	skin	naive	802	tx	32913098	bulk
QTS000015	QTD000319	GTEx	skin_sun_exposed	UBERON_0002097	skin	naive	802	txrev	32913098	bulk
QTS000015	QTD000320	GTEx	skin_sun_exposed	UBERON_0002097	skin	naive	802	leafcutter	32913098	bulk
QTS000015	QTD000321	GTEx	small_intestine	UBERON_0001211	small intestine	naive	212	ge	32913098	bulk
QTS000015	QTD000322	GTEx	small_intestine	UBERON_0001211	small intestine	naive	212	exon	32913098	bulk
QTS000015	QTD000323	GTEx	small_intestine	UBERON_0001211	small intestine	naive	212	tx	32913098	bulk
QTS000015	QTD000324	GTEx	small_intestine	UBERON_0001211	small intestine	naive	212	txrev	32913098	bulk
QTS000015	QTD000325	GTEx	small_intestine	UBERON_0001211	small intestine	naive	212	leafcutter	32913098	bulk
QTS000015	QTD000326	GTEx	spleen	UBERON_0002106	spleen	naive	280	ge	32913098	bulk
QTS000015	QTD000327	GTEx	spleen	UBERON_0002106	spleen	naive	280	exon	32913098	bulk
QTS000015	QTD000328	GTEx	spleen	UBERON_0002106	spleen	naive	280	tx	32913098	bulk
QTS000015	QTD000329	GTEx	spleen	UBERON_0002106	spleen	naive	280	txrev	32913098	bulk
QTS000015	QTD000330	GTEx	spleen	UBERON_0002106	spleen	naive	280	leafcutter	32913098	bulk
QTS000015	QTD000331	GTEx	stomach	UBERON_0000945	stomach	naive	418	ge	32913098	bulk
QTS000015	QTD000332	GTEx	stomach	UBERON_0000945	stomach	naive	418	exon	32913098	bulk
QTS000015	QTD000333	GTEx	stomach	UBERON_0000945	stomach	naive	418	tx	32913098	bulk
QTS000015	QTD000334	GTEx	stomach	UBERON_0000945	stomach	naive	418	txrev	32913098	bulk
QTS000015	QTD000335	GTEx	stomach	UBERON_0000945	stomach	naive	418	leafcutter	32913098	bulk
QTS000015	QTD000336	GTEx	testis	UBERON_0000473	testis	naive	424	ge	32913098	bulk
QTS000015	QTD000337	GTEx	testis	UBERON_0000473	testis	naive	424	exon	32913098	bulk
QTS000015	QTD000338	GTEx	testis	UBERON_0000473	testis	naive	424	tx	32913098	bulk
QTS000015	QTD000339	GTEx	testis	UBERON_0000473	testis	naive	424	txrev	32913098	bulk
QTS000015	QTD000340	GTEx	testis	UBERON_0000473	testis	naive	424	leafcutter	32913098	bulk
QTS000015	QTD000341	GTEx	thyroid	UBERON_0002046	thyroid	naive	724	ge	32913098	bulk
QTS000015	QTD000342	GTEx	thyroid	UBERON_0002046	thyroid	naive	724	exon	32913098	bulk
QTS000015	QTD000343	GTEx	thyroid	UBERON_0002046	thyroid	naive	724	tx	32913098	bulk
QTS000015	QTD000344	GTEx	thyroid	UBERON_0002046	thyroid	naive	724	txrev	32913098	bulk
QTS000015	QTD000345	GTEx	thyroid	UBERON_0002046	thyroid	naive	724	leafcutter	32913098	bulk
QTS000015	QTD000346	GTEx	uterus	UBERON_0000995	uterus	naive	161	ge	32913098	bulk
QTS000015	QTD000347	GTEx	uterus	UBERON_0000995	uterus	naive	161	exon	32913098	bulk
QTS000015	QTD000348	GTEx	uterus	UBERON_0000995	uterus	naive	161	tx	32913098	bulk
QTS000015	QTD000349	GTEx	uterus	UBERON_0000995	uterus	naive	161	txrev	32913098	bulk
QTS000015	QTD000350	GTEx	uterus	UBERON_0000995	uterus	naive	161	leafcutter	32913098	bulk
QTS000015	QTD000351	GTEx	vagina	UBERON_0000996	vagina	naive	176	ge	32913098	bulk
QTS000015	QTD000352	GTEx	vagina	UBERON_0000996	vagina	naive	176	exon	32913098	bulk
QTS000015	QTD000353	GTEx	vagina	UBERON_0000996	vagina	naive	176	tx	32913098	bulk
QTS000015	QTD000354	GTEx	vagina	UBERON_0000996	vagina	naive	176	txrev	32913098	bulk
QTS000015	QTD000355	GTEx	vagina	UBERON_0000996	vagina	naive	176	leafcutter	32913098	bulk
QTS000015	QTD000356	GTEx	blood	UBERON_0000178	blood	naive	853	ge	32913098	bulk
